ID	Value1	Value2	Value3	OrderField	Active
1	1	NA	NA	NA	1
3	2 - 5	NA	NA	NA	1
8	6 - 10	NA	NA	NA	1
15	11 - 20	NA	NA	NA	1
30	21 - 40	NA	NA	NA	1
50	41 - 60	NA	NA	NA	1
80	61 - 100	NA	NA	NA	1
101	> 100	NA	NA	NA	1
1001	> 1000	NA	NA	NA	1
