Code,Nederlandse naam,English name
0,duinbos,dune forest
2,elzenbroekbos,Carex elongata – Scutellaria galericulata type
4,elzen-vogelkersbos,Adoxa mosschatellina – Primula elatior type
5,"beukenbos, eiken-haagbeukenbos of rijke eiken-beukenbos",Luzula pilosa – Oxalis acetosella type
6,typische eiken-beukenbos,Athyrium filix-femina – Pteridium aquilinum type
7,arme eiken-beukenbos en eikenbos,Molinia caerulea – Vaccinium myrtillus type
