ID	Value1	Value2	Value3	OrderField	Active
46	Baccharis halimifolia L.	Baccharis halimifolia L.	NA	NA	1
47	Basterdklaver	Trifolium hybridum L.	NA	NA	1
48	Basterdwederik species	Epilobium species	NA	NA	1
49	Beekpunge	Veronica beccabunga L.	NA	NA	1
50	Beemdgras species	Poa species+C1363	NA	NA	1
51	Beemdkamgras	Cynosurus cristatus L.	NA	NA	1
52	Beemdkroon	Knautia arvensis (L.) Coulter	NA	NA	1
53	Beemdlangbloem	Festuca pratensis Huds.	NA	NA	1
54	Beemdooievaarsbek	Geranium pratense L.	NA	NA	1
55	Beenbreek	Narthecium ossifragum (L.) Huds.	NA	NA	1
56	Behaard breukkruid	Herniaria hirsuta L.	NA	NA	1
57	Behaarde boterbloem	Ranunculus sardous Crantz	NA	NA	1
58	Beklierde basterdwederik	Epilobium ciliatum Rafin.	NA	NA	1
59	Beklierde duizendknoop	Polygonum lapathifolium L.	NA	NA	1
60	Beklierde ogentroost	Euphrasia officinalis L.	NA	NA	1
61	Bergbasterdwederik	Epilobium montanum L.	NA	NA	1
62	Bergbeemdgras	Poa chaixii Vill.	NA	NA	1
63	Bergdravik	Bromus erectus Huds.	NA	NA	1
64	Bergerwt	Astragalus cicer L.	NA	NA	1
65	Berghertshooi	Hypericum montanum L.	NA	NA	1
66	Bergklokje	Campanula rhomboidalis L.	NA	NA	1
67	Bergnachtorchis	Platanthera chlorantha (Cust.) Reichenb.	NA	NA	1
68	Berk	Betula tremula/alba	NA	NA	1
69	Bermooievaarsbek	Geranium pyrenaicum Burm. f.	NA	NA	1
70	Betonie	Stachys officinalis (L.) Trev.	NA	NA	1
71	Beuk	Fagus sylvatica L.	NA	NA	1
72	Beursjesganzenvoet	Chenopodium chenopodioides (L.) Aell.	NA	NA	1
73	Beverneltorkruid	Oenanthe pimpinelloides L.	NA	NA	1
74	Bevertjes	Briza media L.	NA	NA	1
75	Bezemkruiskruid	Senecio inaequidens DC.	NA	NA	1
76	Biestarwegras	Elymus farctus (Viv.) Runemark ex Melder	NA	NA	1
77	Biezenknoppen	Juncus conglomeratus L.	NA	NA	1
78	Bijeorchis	Ophrys apifera Huds.	NA	NA	1
79	Bijvoet	Artemisia vulgaris L.	NA	NA	1
80	Bilzekruid	Hyoscyamus niger L.	NA	NA	1
81	Bitter barbarakruid	Barbarea intermedia Boreau	NA	NA	1
82	Bittere veldkers	Cardamine amara L.	NA	NA	1
83	Bittere wilg	Salix purpurea L.	NA	NA	1
84	Bitterzoet	Solanum dulcamara L.	NA	NA	1
85	Blaartrekkende boterbloem	Ranunculus sceleratus L.	NA	NA	1
86	Blaassilene	Silene vulgaris (Moench) Garcke	NA	NA	1
87	Blaasvaren	Cystopteris fragilis (L.) Bernh.	NA	NA	1
88	Blaaszegge	Carex vesicaria L.	NA	NA	1
89	Bladgreppelrus	Juncus foliosus Desf.	NA	NA	1
90	Blauw glidkruid	Scutellaria galericulata L.	NA	NA	1
91	Blauw kweldergras	Puccinellia fasciculata (Torr.) E.P. Bic	NA	NA	1
92	Blauw walstro	Sherardia arvensis L.	NA	NA	1
93	Blauwe bosbes	Vaccinium myrtillus L.	NA	NA	1
94	Blauwe bremraap	Orobanche purpurea Jacq.	NA	NA	1
95	Blauwe druifjes	Muscari botryoides (L.) Mill.	NA	NA	1
96	Blauwe knoop	Succisa pratensis Moench	NA	NA	1
97	Blauwe monnikskap	Aconitum napellus L.	NA	NA	1
98	Blauwe zeedistel	Eryngium maritimum L.	NA	NA	1
99	Blauwe zegge	Carex panicea L.	NA	NA	1
100	Blauwgras	Sesleria caerulea (L.) Ard.	NA	NA	1
101	Blazenstruik	Colutea arborescens L.	NA	NA	1
102	Bleek bosvogeltje	Cephalanthera damasonium (Mill.) Druce	NA	NA	1
103	Bleek kweldergras	Puccinellia capillaris (Liljebl.) Jansen	NA	NA	1
104	Bleekgeel blaasjeskruid	Utricularia ochroleuca R. Hartm.	NA	NA	1
105	Bleekgele droogbloem	Gnaphalium luteoalbum L.	NA	NA	1
106	Bleekgele hennepnetel	Galeopsis segetum Neck.	NA	NA	1
107	Bleeksporig bosviooltje	Viola riviniana Reichenb.	NA	NA	1
108	Bleke basterdwederik	Epilobium roseum Schreb.	NA	NA	1
109	Bleke en ijle bermzegge	Carex divulsa Stokes	NA	NA	1
110	Bleke klaproos	Papaver dubium L.	NA	NA	1
111	Bleke morgenster	Tragopogon dubius Scop.	NA	NA	1
112	Bleke zegge	Carex pallescens L.	NA	NA	1
113	Bloedzuring	Rumex sanguineus L.	NA	NA	1
114	Blonde zegge	Carex hostiana DC.	NA	NA	1
115	Bochtig havikskruid	Hieracium maculatum Schrank	NA	NA	1
116	Bochtige klaver	Trifolium medium L.	NA	NA	1
117	Bochtige smele	Deschampsia flexuosa (L.) Trin.	NA	NA	1
118	Boerenwormkruid	Tanacetum vulgare L.	NA	NA	1
119	Bokkeorchis	Himantoglossum hircinum (L.) Spreng.	NA	NA	1
120	Boksdoorn	Lycium barbarum L.	NA	NA	1
121	Bolderik	Agrostemma githago L.	NA	NA	1
122	Bolletjesraket	Rapistrum rugosum (L.) All.	NA	NA	1
123	Bont kroonkruid	Securigera varia (L.) Lassen	NA	NA	1
124	Bonte krokus	Crocus vernus (L.) Hill	NA	NA	1
125	Bonte paardenstaart	Equisetum variegatum Schleich.	NA	NA	1
126	Borstelbies	Scirpus setaceus L.	NA	NA	1
127	Borstelgras	Nardus stricta L.	NA	NA	1
128	Borstelkrans	Clinopodium vulgare L.	NA	NA	1
129	Bosaardbei	Fragaria vesca L.	NA	NA	1
130	Bosandoorn	Stachys sylvatica L.	NA	NA	1
131	Bosanemoon	Anemone nemorosa L.	NA	NA	1
132	Bosbies	Scirpus sylvaticus L.	NA	NA	1
133	Bosbingelkruid	Mercurialis perennis L.	NA	NA	1
134	Bosboterbloem	Ranunculus serpens Schrank	NA	NA	1
135	Bosdroogbloem	Gnaphalium sylvaticum L.	NA	NA	1
136	Bosereprijs	Veronica montana L.	NA	NA	1
137	Bosgeelster	Gagea lutea (L.) Ker-Gawl.	NA	NA	1
138	Bosgierstgras	Milium effusum L.	NA	NA	1
139	Boshavikskruid	Hieracium sabaudum L.	NA	NA	1
140	Boshyacint	Hyacinthoides non-scripta (L.) Chouard e	NA	NA	1
141	Boskers	Prunus avium (L.) L.	NA	NA	1
142	Bosklit	Arctium nemorosum Lej.	NA	NA	1
143	Boskortsteel	Brachypodium sylvaticum (Huds.) Beauv.	NA	NA	1
144	Boskruiskruid	Senecio sylvaticus L.	NA	NA	1
145	Boslathyrus	Lathyrus sylvestris L.	NA	NA	1
146	Bosmuur	Stellaria nemorum L.	NA	NA	1
147	Bosooievaarsbek	Geranium sylvaticum L.	NA	NA	1
148	Bosorchis	Dactylorhiza fuchsii (Druce) So¢	NA	NA	1
149	Bospaardenstaart	Equisetum sylvaticum L.	NA	NA	1
150	Bosrank	Clematis vitalba L.	NA	NA	1
151	Bosroos	Rosa arvensis Huds.	NA	NA	1
152	Bostulp	Tulipa sylvestris L.	NA	NA	1
153	Bosveldkers	Cardamine flexuosa With.	NA	NA	1
154	Bosvergeet-mij-nietje	Myosotis sylvatica Ehrh. ex Hoffmann	NA	NA	1
155	Bosviooltje	Viola riviniana/reichenbachiana	NA	NA	1
156	Boswederik	Lysimachia nemorum L.	NA	NA	1
157	Boswilg	Salix caprea L.	NA	NA	1
158	Boszegge	Carex sylvatica Huds.	NA	NA	1
159	Bottelroos	Rosa villosa L.	NA	NA	1
160	Bouchon's amarant	Amaranthus bouchonii Thell.	NA	NA	1
161	Braam (Gewone)	Rubus 'fruticosus' groep	NA	NA	1
162	Brave hendrik	Chenopodium bonus-henricus L.	NA	NA	1
163	Brede lathyrus	Lathyrus latifolius L.	NA	NA	1
164	Brede orchis	Dactylorhiza fistulosa (Moench) H. Bauma	NA	NA	1
165	Brede stekelvaren	Dryopteris dilatata (Hoffm.) A. Gray	NA	NA	1
166	Brede waterpest	Elodea canadensis Michaux	NA	NA	1
167	Brede wespeorchis	Epipactis helleborine (L.) Crantz	NA	NA	1
168	Brede wolfsmelk	Euphorbia platyphyllos L.	NA	NA	1
169	Breed fakkelgras	Koeleria pyramidata (Lam.) Beauv.	NA	NA	1
170	Breed klokje	Campanula latifolia L.	NA	NA	1
171	Breed wollegras	Eriophorum latifolium Hoppe	NA	NA	1
172	Bruin cypergras	Cyperus fuscus L.	NA	NA	1
173	Bruine snavelbies	Rhynchospora fusca (L.) Ait. f.	NA	NA	1
174	Bruinrode wespeorchis	Epipactis atrorubens (Hoffmann) Besser	NA	NA	1
175	Bultkroos	Lemna gibba L.	NA	NA	1
176	Buntgras	Corynephorus canescens (L.) Beauv.	NA	NA	1
177	Campanula portenschlagiana Schult.	Campanula portenschlagiana Schult.	NA	NA	1
178	Canadees vlotgras	Glyceria canadensis (Michaux) Trin.	NA	NA	1
179	Canadese fijnstraal	Conyza canadensis (L.) Cronq.	NA	NA	1
180	Canadese guldenroede	Solidago canadensis L.	NA	NA	1
181	Canadese rus	Juncus canadensis J. Gay ex Laharpe	NA	NA	1
182	Chinese bruidssluier	Fallopia aubertii (L. Henry) Holub	NA	NA	1
183	Chinese naaldaar	Setaria faberi W. Herrmann	NA	NA	1
184	Christoffelkruid	Actaea spicata L.	NA	NA	1
185	Cineraria	Senecio cineraria DC.	NA	NA	1
186	Cipreswolfsmelk	Euphorbia cyparissias L.	NA	NA	1
187	Citroengele honingklaver	Melilotus officinalis Lam.	NA	NA	1
188	Cornus sericea L.	Cornus sericea L.	NA	NA	1
189	Corsicaanse den	Pinus nigra	NA	NA	1
190	Cotoneaster dielsianus Pritzel	Cotoneaster dielsianus Pritzel	NA	NA	1
191	Cotoneaster rehderi Pojark.	Cotoneaster rehderi Pojark.	NA	NA	1
192	Cotoneaster salicifolius Franch.	Cotoneaster salicifolius Franch.	NA	NA	1
193	Cotoneaster simonsii Baker	Cotoneaster simonsii Baker	NA	NA	1
194	Cotoneaster sternianus (Turr.) Boom	Cotoneaster sternianus (Turr.) Boom	NA	NA	1
195	Cyperzegge	Carex bohemica Schreb.	NA	NA	1
196	Dagkoekoeksbloem	Silene dioica (L.) Clairv.	NA	NA	1
197	Dalkruid	Maianthemum bifolium (L.) F.W. Schmidt	NA	NA	1
198	Damastbloem	Hesperis matronalis L.	NA	NA	1
199	Daslook	Allium ursinum L.	NA	NA	1
200	Dauwbraam	Rubus caesius L.	NA	NA	1
201	Dauwnetel	Galeopsis speciosa Mill.	NA	NA	1
202	Deens lepelblad	Cochlearia danica L.	NA	NA	1
203	Dennenorchis	Goodyera repens (L.) R. Brown	NA	NA	1
204	Dennenwolfsklauw	Huperzia selago (L.) Bernh. ex Schrank e	NA	NA	1
205	Dicht havikskruid	Hieracium lachenalii C.C. Gmel.	NA	NA	1
206	Dicht langbaardgras	Vulpia fasciculata (Forssk.) Fritsch	NA	NA	1
207	Dichtbloemige duivekervel	Fumaria densiflora DC.	NA	NA	1
208	Dichtbloemige kruidkers	Lepidium densiflorum Schrad.	NA	NA	1
209	Dichte bermzegge	Carex muricata L.	NA	NA	1
210	Dittrichia viscosa (L.) W. Greuter	Dittrichia viscosa (L.) W. Greuter	NA	NA	1
211	Doffe ereprijs	Veronica opaca Fries	NA	NA	1
212	Dolik	Lolium temulentum L.	NA	NA	1
213	Dolle kervel	Chaerophyllum temulum L.	NA	NA	1
214	Donderkruid	Inula conyzae (Griesselich) Meikle	NA	NA	1
215	Donkere ooievaarsbek	Geranium phaeum L.	NA	NA	1
216	Donkergroene basterdwederik	Epilobium obscurum Schreb.	NA	NA	1
217	Donkersporig bosviooltje	Viola reichenbachiana Jord. ex Boreau	NA	NA	1
218	Donzige klit	Arctium tomentosum Mill.	NA	NA	1
219	Doorgroeid fonteinkruid	Potamogeton perfoliatus L.	NA	NA	1
220	Doorgroeiende boerenkers	Thlaspi perfoliatum L.	NA	NA	1
221	Doornappel	Datura stramonium L.	NA	NA	1
222	Doorschijnend sterrenkroos	Callitriche truncata Guss. subsp. occide	NA	NA	1
223	Doorwas	Bupleurum rotundifolium L.	NA	NA	1
224	Dotterbloem	Caltha palustris L.	NA	NA	1
225	Douglas	Pseudotsuga menziesii	NA	NA	1
226	Douglaspluimspirea	Spiraea douglasii Hook.	NA	NA	1
227	Draadereprijs	Veronica filiformis Smith	NA	NA	1
228	Draadgentiaan	Cicendia filiformis (L.) Delarbre	NA	NA	1
229	Draadklaver	Trifolium filiforme L.	NA	NA	1
230	Draadrus	Juncus filiformis L.	NA	NA	1
231	Draadzegge	Carex lasiocarpa Ehrh.	NA	NA	1
232	Dreps	Bromus secalinus L.	NA	NA	1
233	Driebloemige nachtschade	Solanum triflorum Nutt.	NA	NA	1
234	Driedelige waterranonkel	Ranunculus tripartitus DC.	NA	NA	1
235	Driedistel	Carlina vulgaris L.	NA	NA	1
236	Driehoornig walstro	Galium tricornutum Dandy	NA	NA	1
237	Driekantige bies	Scirpus triqueter L.	NA	NA	1
238	Driekleurig viooltje	Viola tricolor L.	NA	NA	1
239	Drienerfmuur	Moehringia trinervia (L.) Clairv.	NA	NA	1
240	Drienervige zegge	Carex trinervis Degl.	NA	NA	1
241	Drietallig glaskroos	Elatine triandra Schkuhr	NA	NA	1
242	Drijvend fonteinkruid	Potamogeton natans L.	NA	NA	1
243	Drijvende egelskop	Sparganium angustifolium Michaux	NA	NA	1
244	Drijvende waterweegbree	Luronium natans (L.) Rafin.	NA	NA	1
245	Dubbelkelk	Picris echioides L.	NA	NA	1
246	Dubbelloof	Blechnum spicant (L.) Roth	NA	NA	1
247	Duifkruid	Scabiosa columbaria L.	NA	NA	1
248	Duindoorn	Hippophae rhamnoides L.	NA	NA	1
249	Duindravik	Bromus thominei Hardouin	NA	NA	1
250	Duinfakkelgras	Koeleria albescens DC.	NA	NA	1
251	Duinlangbaardgras en gewimperd langbaardg	Vulpia ciliata Dum.	NA	NA	1
252	Duinpaardebloem	Taraxacum Wiggers sectie Erythrosperma (	NA	NA	1
253	Duinroosje	Rosa pimpinellifolia L.	NA	NA	1
254	Duinrus	Juncus anceps Laharpe	NA	NA	1
255	Duinviooltje	Viola curtisii E. Forster	NA	NA	1
256	Duinvogelmuur	Stellaria pallida (Dum.) Pir‚	NA	NA	1
257	Duinzwenkgras	Festuca juncifolia St-Amans	NA	NA	1
258	Duist	Alopecurus myosuroides Huds.	NA	NA	1
259	Duits viltkruid	Filago vulgaris Lam.	NA	NA	1
260	Duitse dot	Salix dasyclados Wimm.	NA	NA	1
261	Duitse gentiaan	Gentianella germanica (Willd.) B”rner	NA	NA	1
262	Duizendknoopfonteinkruid	Potamogeton polygonifolius Pourr.	NA	NA	1
263	Dunstaart	Parapholis strigosa (Dum.) C.E. Hubbard	NA	NA	1
264	Dwergbloem	Centunculus minimus L.	NA	NA	1
265	Dwerggras	Mibora minima (L.) Desv.	NA	NA	1
266	Dwergkroos	Lemna minuta Humb., Bonpl. et Kunth	NA	NA	1
267	Dwergrus	Juncus pygmaeus L.C.M. Rich.	NA	NA	1
268	Dwergviltkruid	Filago minima (Smith) Pers.	NA	NA	1
269	Dwergvlas	Radiola linoides Roth	NA	NA	1
270	Dwergzegge	Carex viridula s.l.	NA	NA	1
271	Echt bitterkruid	Picris hieracioides L.	NA	NA	1
272	Echt duizendguldenkruid	Centaurium erythraea Rafn	NA	NA	1
273	Echt lepelblad	Cochlearia officinalis L.	NA	NA	1
274	Echte guldenroede	Solidago virgaurea L.	NA	NA	1
275	Echte heemst	Althaea officinalis L.	NA	NA	1
276	Echte kamille	Matricaria recutita L.	NA	NA	1
277	Echte koekoeksbloem	Lychnis flos-cuculi L.	NA	NA	1
278	Echte kruisdistel	Eryngium campestre L.	NA	NA	1
279	Echte valeriaan	Valeriana repens Host	NA	NA	1
280	Eekhoorngras	Vulpia bromoides (L.) S.F. Gray	NA	NA	1
281	Eenarig wollegras	Eriophorum vaginatum L.	NA	NA	1
282	Eenbes	Paris quadrifolia L.	NA	NA	1
283	Eenbloemig parelgras	Melica uniflora Retz.	NA	NA	1
284	Eenjarige hardbloem	Scleranthus annuus L.	NA	NA	1
285	Eenstijlige meidoorn	Crataegus monogyna Jacq.	NA	NA	1
286	Egelantier	Rosa rubiginosa L.	NA	NA	1
287	Egelboterbloem	Ranunculus flammula L.	NA	NA	1
288	Eikvaren	Polypodium vulgare L.	NA	NA	1
289	Eironde leeuwenbek	Kickxia spuria (L.) Dum.	NA	NA	1
290	Eivormige waterbies	Eleocharis ovata (Roth.) Roem. et Schult	NA	NA	1
291	Elzenzegge	Carex elongata L.	NA	NA	1
292	Engels gras	Armeria maritima Willd.	NA	NA	1
293	Engels raaigras	Lolium perenne L.	NA	NA	1
294	Engels slijkgras	Spartina townsendii H. et J. Groves	NA	NA	1
295	Engelse alant	Inula britannica L.	NA	NA	1
296	Eragrostis curvula (Schrad.) Nees	Eragrostis curvula (Schrad.) Nees	NA	NA	1
297	Es (Gewone)	Fraxinus excelsior L.	NA	NA	1
298	Es/Esdoorn	F. excelsior/A. pseudoplatanus	NA	NA	1
299	Esdoorn (Gewone)	Acer pseudoplatanus L.	NA	NA	1
300	Esdoornganzenvoet	Chenopodium hybridum L.	NA	NA	1
301	Esparcette	Onobrychis viciifolia Scop.	NA	NA	1
302	Europese lork	Lariks deciduas	NA	NA	1
303	Fijn goudscherm	Bupleurum tenuissimum L.	NA	NA	1
304	Fijn hoornblad	Ceratophyllum submersum L.	NA	NA	1
305	Fijn schapegras	Festuca filiformis Pourr.	NA	NA	1
306	Fijne kervel	Anthriscus caucalis Bieb.	NA	NA	1
307	Fijne ooievaarsbek	Geranium columbinum L.	NA	NA	1
308	Fijne waterranonkel	Ranunculus aquatilis L.	NA	NA	1
309	Fijnspar	Picaea abies	NA	NA	1
310	Fioringras	Agrostis stolonifera L.	NA	NA	1
311	Fladderiep	Ulmus laevis Pallas	NA	NA	1
312	Florentijns havikskruid	Hieracium piloselloides Vill.	NA	NA	1
313	Fluitenkruid	Anthriscus sylvestris (L.) Hoffmann	NA	NA	1
314	Fraai duizendguldenkruid	Centaurium pulchellum (Sw.) Druce	NA	NA	1
315	Fraai hertshooi	Hypericum pulchrum L.	NA	NA	1
316	Fraaie vrouwenmantel	Alchemilla mollis (Buser) Rothm.	NA	NA	1
317	Framboos	Rubus idaeus L.	NA	NA	1
318	Franse aardkastanje	Conopodium majus (Gouan) Loret	NA	NA	1
319	Franse silene	Silene gallica L.	NA	NA	1
320	Franse veldbies	Luzula forsteri (Smith) DC.	NA	NA	1
321	Galega	Galega officinalis L.	NA	NA	1
322	Galigaan	Cladium mariscus (L.) Pohl	NA	NA	1
323	Gaspeldoorn	Ulex europaeus L.	NA	NA	1
324	Gebogen driehoeksvaren	Gymnocarpium dryopteris (L.) Newman	NA	NA	1
325	Geel cypergras	Cyperus flavescens L.	NA	NA	1
326	Geel nagelkruid	Geum urbanum L.	NA	NA	1
327	Geel viltkruid	Filago lutescens Jord.	NA	NA	1
328	Geel walstro	Galium verum L.	NA	NA	1
329	Geel zonneroosje	Helianthemum nummularium (L.) Mill.	NA	NA	1
330	Geelgroene vrouwenmantel	Alchemilla xanthochlora Rothm.	NA	NA	1
331	Geelgroene zegge	Carex demissa Vahl ex Hartm.	NA	NA	1
332	Geelhartje	Linum catharticum L.	NA	NA	1
333	Geelrode naaldaar	Setaria pumila (Poiret) Roem. et Schult.	NA	NA	1
334	Gegolfd fonteinkruid	Potamogeton zizii Koch ex Roth	NA	NA	1
335	Gehoornde klaverzuring	Oxalis corniculata L.	NA	NA	1
336	Gekielde dravik	Bromus carinatus Hook. Et Arnott	NA	NA	1
337	Geknikte vossenstaart	Alopecurus geniculatus L.	NA	NA	1
338	Gekroesd fonteinkruid	Potamogeton crispus L.	NA	NA	1
339	Gekroesde melkdistel	Sonchus asper (L.) Hill	NA	NA	1
340	Gekweekte peer	Pyrus communis L.	NA	NA	1
341	Gelderse roos	Viburnum opulus L.	NA	NA	1
342	Gele anemoon	Anemone ranunculoides L.	NA	NA	1
343	Gele dovenetel	Lamium galeobdolon (L.) L.	NA	NA	1
344	Gele ganzebloem	Chrysanthemum segetum L.	NA	NA	1
345	Gele helmbloem	Pseudofumaria lutea (L.) Borkh.	NA	NA	1
346	Gele hoornpapaver	Glaucium flavum Crantz	NA	NA	1
347	Gele kamille	Anthemis tinctoria L.	NA	NA	1
348	Gele kornoelje	Cornus mas	NA	NA	1
349	Gele lis	Iris pseudacorus L.	NA	NA	1
350	Gele monnikskap	Aconitum lycoctonum L. subsp. vulparia (	NA	NA	1
351	Gele morgenster	Tragopogon pratensis L.	NA	NA	1
352	Gele plomp	Nuphar lutea (L.) Smith	NA	NA	1
353	Gele waterkers	Rorippa amphibia (L.) Besser	NA	NA	1
354	Gele zegge	Carex flava L.	NA	NA	1
355	Gelobde maanvaren	Botrychium lunaria (L.) Swartz	NA	NA	1
356	Gelobde melde	Atriplex laciniata L.	NA	NA	1
357	Genadekruid	Gratiola officinalis L.	NA	NA	1
358	Geoord helmkruid	Scrophularia auriculata L.	NA	NA	1
359	Geoorde veldsla	Valerianella rimosa Bast.	NA	NA	1
360	Geoorde wilg	Salix aurita L.	NA	NA	1
361	Geoorde zuring	Rumex thyrsiflorus Fingerh.	NA	NA	1
362	Gerande schijnspurrie	Spergularia media (L.) C. Presl subsp. a	NA	NA	1
363	Geschubde niervaren	Dryopteris affinis (Lowe) Fraser-Jenkins	NA	NA	1
364	Gespleten hennepnetel	Galeopsis bifida Boenningh.	NA	NA	1
365	Gesteeld glaskroos	Elatine hexandra (Lapierre) DC.	NA	NA	1
366	Gesteeld sterrenkroos	Callitriche brutia Petagna	NA	NA	1
367	Gesteelde zoutmelde	Halimione pedunculata (L.) Aell.	NA	NA	1
368	Gestreepte klaver	Trifolium striatum L.	NA	NA	1
369	Gestreepte leeuwenbek	Linaria repens (L.) Mill.	NA	NA	1
370	Gestreepte witbol	Holcus lanatus L.	NA	NA	1
371	Getand vlotgras	Glyceria declinata Br‚b.	NA	NA	1
372	Getande veldsla	Valerianella dentata (L.) Pollich	NA	NA	1
373	Geum macrophyllum Willd.	Geum macrophyllum Willd.	NA	NA	1
374	Gevinde kortsteel	Brachypodium pinnatum (L.) Beauv.	NA	NA	1
375	Gevlekt longkruid	Pulmonaria officinalis L.	NA	NA	1
376	Gevlekt zonneroosje	Tuberaria guttata (L.) Fourr.	NA	NA	1
377	Gevlekte aronskelk	Arum maculatum L.	NA	NA	1
378	Gevlekte dovenetel	Lamium maculatum L.	NA	NA	1
379	Gevlekte orchis	Dactylorhiza maculata (L.) So¢	NA	NA	1
380	Gevlekte rupsklaver	Medicago arabica (L.) Huds.	NA	NA	1
381	Gevlekte scheerling	Conium maculatum L.	NA	NA	1
382	Gevleugeld helmkruid	Scrophularia umbrosa Dum.	NA	NA	1
383	Gevleugeld hertshooi	Hypericum tetrapterum Fries	NA	NA	1
384	Gevleugeld sterrenkroos	Callitriche stagnalis Scop.	NA	NA	1
385	Gewone addertong	Ophioglossum vulgatum L.	NA	NA	1
386	Gewone agrimonie	Agrimonia eupatoria L.	NA	NA	1
387	Gewone berenklauw	Heracleum sphondylium L.	NA	NA	1
388	Gewone bermzegge	Carex spicata Huds.	NA	NA	1
389	Gewone brem	Cytisus scoparius (L.) Link	NA	NA	1
390	Gewone brunel	Prunella vulgaris L.	NA	NA	1
391	Gewone dophei	Erica tetralix L.	NA	NA	1
392	Gewone duivekervel	Fumaria officinalis L.	NA	NA	1
393	Gewone en smalle rolklaver	Lotus corniculatus L.	NA	NA	1
394	Gewone engelwortel	Angelica sylvestris L.	NA	NA	1
395	Gewone ereprijs	Veronica chamaedrys L.	NA	NA	1
396	Gewone hennepnetel	Galeopsis tetrahit L.	NA	NA	1
397	Gewone hoornbloem	Cerastium fontanum Baumg.	NA	NA	1
398	Gewone kropaar	Dactylis glomerata L.	NA	NA	1
399	Gewone melkdistel	Sonchus oleraceus L.	NA	NA	1
400	Gewone ossentong	Anchusa officinalis L.	NA	NA	1
401	Gewone pastinaak en brandpastinaak	Pastinaca sativa L.	NA	NA	1
402	Gewone raket	Sisymbrium officinale (L.) Scop.	NA	NA	1
403	Gewone reigersbek	Erodium cicutarium (L.) L'H‚rit.	NA	NA	1
404	Gewone salomonszegel	Polygonatum multiflorum (L.) All.	NA	NA	1
405	Gewone sering	Syringa vulgaris L.	NA	NA	1
406	Gewone smeerwortel	Symphytum officinale L.	NA	NA	1
407	Gewone spurrie	Spergula arvensis L.	NA	NA	1
408	Gewone steenraket	Erysimum cheiranthoides L.	NA	NA	1
409	Gewone veldbies	Luzula campestris (L.) DC.	NA	NA	1
410	Gewone veldsla	Valerianella locusta (L.) Laterr.	NA	NA	1
