ID	Value1	Value2	Value3	OrderField	Active
1	Aalbes	Ribes rubrum L.	NA	NA	1
2	Aangebrande orchis	Orchis ustulata L.	NA	NA	1
3	Aardaker	Lathyrus tuberosus L.	NA	NA	1
4	Aardbeiganzerik	Potentilla sterilis (L.) Garcke	NA	NA	1
5	Aardbeiklaver	Trifolium fragiferum L.	NA	NA	1
6	Aarddistel	Cirsium acaule Scop.	NA	NA	1
7	Aardpeer	Helianthus tuberosus L.	NA	NA	1
8	Aarvederkruid	Myriophyllum spicatum L.	NA	NA	1
9	Absintalsem	Artemisia absinthium L.	NA	NA	1
10	Adderwortel	Polygonum bistorta L.	NA	NA	1
11	Adelaarsvaren	Pteridium aquilinum (L.) Kuhn	NA	NA	1
12	Agrostis scabra Willd.	Agrostis scabra Willd.	NA	NA	1
13	Akkerandoorn	Stachys arvensis (L.) L.	NA	NA	1
14	Akkerboterbloem	Ranunculus arvensis L.	NA	NA	1
15	Akkerdistel	Cirsium arvense (L.) Scop.	NA	NA	1
16	Akkerdoornzaad	Torilis arvensis (Huds.) Link	NA	NA	1
17	Akkerdravik	Bromus arvensis L.	NA	NA	1
18	Akkerereprijs	Veronica agrestis L.	NA	NA	1
19	Akkergeelster	Gagea villosa (Bieb.) Duby	NA	NA	1
20	Akkerhoornbloem	Cerastium arvense L.	NA	NA	1
21	Akkerkers	Rorippa sylvestris (L.) Besser	NA	NA	1
22	Akkerklokje	Campanula rapunculoides L.	NA	NA	1
23	Akkerkool	Lapsana communis L.	NA	NA	1
24	Akkerleeuwenbek	Misopates orontium (L.) Rafin.	NA	NA	1
25	Akkermelkdistel	Sonchus arvensis L.	NA	NA	1
26	Akkermunt	Mentha arvensis L.	NA	NA	1
27	Akkervergeet-mij-nietje	Myosotis arvensis (L.) Hill	NA	NA	1
28	Akkerviltkruid	Filago arvensis L.	NA	NA	1
29	Akkerviooltje	Viola arvensis Murray	NA	NA	1
30	Akkerwalstro	Galium spurium L.	NA	NA	1
31	Akkerwinde	Convolvulus arvensis L.	NA	NA	1
32	Alpenandoorn	Stachys alpina L.	NA	NA	1
33	Alpenbes	Ribes alpinum L.	NA	NA	1
34	Alpenrus	Juncus alpinoarticulatus Chaix	NA	NA	1
35	Amandelwilg	Salix triandra L.	NA	NA	1
36	Amandelwolfsmelk	Euphorbia amygdaloides L.	NA	NA	1
37	Amerikaans krentenboompje	Amelanchier lamarckii F.G. Schroeder	NA	NA	1
38	Amerikaanse eik	Quercus rubra L.	NA	NA	1
39	Amerikaanse kruidkers	Lepidium virginicum L.	NA	NA	1
40	Amerikaanse vogelkers	Prunus serotina Ehrh.	NA	NA	1
41	Appel (wild + gekweekt)	Malus sylvestris (L.) Mill.	NA	NA	1
42	Armbloemige waterbies	Eleocharis quinqueflora (F.X. Hartm.) O.	NA	NA	1
43	Asperge	Asparagus officinalis L.	NA	NA	1
44	Avondkoekoeksbloem	Silene latifolia Poiret subsp. alba (Mil	NA	NA	1
45	Baardgras	Polypogon monspeliensis (L.) Desf.	NA	NA	1
