plottype,plot_id,year,period,species,dbh_class_5cm,stem_number_alive_ha,stem_number_dead_ha,basal_area_alive_m2_ha,basal_area_dead_m2_ha,vol_alive_m3_ha,vol_dead_standing_m3_ha,vol_bole_alive_m3_ha,vol_bole_dead_m3_ha,vol_log_m3_ha
CA,11000,1986,0,87,50 - 55 cm,0.09303623761455086,0,0.0197582605370675,0,0.3324460817625725,0,0.2812193261650166,0,
CA,11000,1986,0,87,60 - 65 cm,0.09303623761455086,0,0.029929672766208757,0,0.5456731285065084,0,0.44531176630678404,0,
CA,11000,1986,0,7,65 - 70 cm,0.09303623761455086,0,0.03478886036130856,0,0.6975821971003501,0,0.5321893584573129,0,
CA,11000,1986,0,87,75 - 80 cm,0.09303623761455086,0,0.041102150710430725,0,0.7914889746094148,0,0.6268002336467515,0,
CA,11000,1986,0,7,80 - 85 cm,0.09303623761455086,0,0.0479415485886464,0,1.0276355926113607,0,0.7467512869827138,0,
CA,11000,1986,0,7,85 - 90 cm,0.09303623761455086,0,0.057879135249301654,0,1.2893562474092524,0,0.9081805023145857,0,
CP,204,2000,1,26,10 - 15 cm,0,0,0,0,0,0,0,0,0.2498493874128119
CP,204,2000,1,26,15 - 20 cm,0,0,0,0,0,0,0,0,0.5195374384820285
CP,204,2000,1,26,20 - 25 cm,7.957747154594767,0,0.3025,0,2.2747748489157824,0,2.2247195274875478,0,1.0534147373366367
CP,204,2000,1,26,30 - 35 cm,15.915494309189533,0,1.2850000000000001,0,10.671818676798512,0,10.5059856066787,0,0
CP,2006,2000,1,87,30 - 35 cm,0,3.53677651315323,0,0.28444444444444444,0,3.680150699145974,0,3.347119601833941,
CP,2006,2000,1,7,50 - 55 cm,3.53677651315323,0,0.6944444444444444,0,12.054685389248752,0,9.998373034949934,0,
CP,2006,2000,1,7,55 - 60 cm,3.53677651315323,0,0.8402777777777779,0,15.250521242839419,0,12.361290875168134,0,
CP,2006,2000,1,7,105 - 110 cm,3.53677651315323,0,3.300277777777778,0,79.92711957466399,0,52.279041466945145,0,
CA,11000,2000,1,16,30 - 35 cm,0.09303623761455086,0,0.006576344113668917,0,0.07708243796261399,0,0.07284658000245736,0,
CA,11000,2000,1,87,55 - 60 cm,0.09303623761455086,0,0.02458091288709137,0,0.43207799715161227,0,0.35882011036829475,0,
CA,11000,2000,1,87,70 - 75 cm,0.09303623761455086,0,0.03580454017441965,0,0.6736177188290408,0,0.5406394966179225,0,
CA,11000,2000,1,7,75 - 80 cm,0.09303623761455086,0,0.042205515111724067,0,0.8812130076431299,0,0.6532650894073445,0,
CA,11000,2000,1,7,85 - 90 cm,0.09303623761455086,0,0.05404293451632811,0,1.1871807369532485,0,0.8459560412925082,0,
CA,11000,2000,1,87,85 - 90 cm,0.09303623761455086,0,0.055307053995955584,0,1.1176056182554976,0,0.858413455124141,0,
CA,11000,2000,1,7,95 - 100 cm,0.09303623761455086,0,0.0673417637239697,0,1.5470769039668184,0,1.0611046689026626,0,
CP,101,2002,1,16,5 - 10 cm,78.59503362562734,0,0.39506172839506176,0,1.6913125097737192,0,1.6913125097737192,0,0
CP,101,2002,1,28,5 - 10 cm,471.570201753764,0,1.8888888888888888,0,4.073795295664548,0,4.073795295664548,0,0
CP,101,2002,1,16,10 - 15 cm,235.785100876882,0,2.703703703703704,0,17.362181072664185,0,17.362181072664185,0,0.2813898691381523
CP,101,2002,1,87,10 - 15 cm,0,0,0,0,0,0,0,0,0.860163696757272
CP,101,2002,1,87,35 - 40 cm,78.59503362562734,0,7.561728395061728,0,92.54499951799284,0,81.99193801592855,0,0
CP,101,2002,1,87,45 - 50 cm,39.29751681281367,0,7.111111111111112,0,101.34569878372892,0,84.81358786685783,0,0
CP,101,2002,1,87,50 - 55 cm,58.9462752192205,0,12.686728395061731,0,187.63820660894905,0,154.42194468754937,0,0
CP,101,2002,1,87,60 - 65 cm,19.648758406406834,0,5.742283950617284,0,90.29076348051196,0,72.09676073899962,0,0
CP,101,2002,1,87,65 - 70 cm,19.648758406406834,0,7.135802469135805,0,116.9701961900106,0,91.31719945424601,0,0
CP,101,2002,1,87,85 - 90 cm,19.648758406406834,0,11.950617283950619,0,215.46959803369737,0,158.80194432315125,0,0
CP,101,2002,1,87,90 - 95 cm,19.648758406406834,0,13.347222222222227,0,245.5572823281133,0,178.6023569797572,0,0
CP,1005,2006,1,87,10 - 15 cm,14.14710605261292,0,0.11111111111111112,0,0.9857999718308699,0,0.683643467207931,0,0
CP,1005,2006,1,87,15 - 20 cm,14.14710605261292,0,0.28444444444444444,0,1.924172656078269,0,1.7932584416580388,0,0
CP,1005,2006,1,87,20 - 25 cm,0,0,0,0,0,0,0,0,1.7714298843779266
CP,1005,2006,1,87,30 - 35 cm,14.14710605261292,0,1.1736111111111112,0,13.169614787805454,0,11.75149095682638,0,0
CA,141100,2007,1,28,5 - 10 cm,2,0,0.003926990816987242,0,0,0,0,0,0
CA,141100,2007,1,87,5 - 10 cm,2,0,0.003926990816987242,0,0.2367520999071327,0,0.14810449698365,0,0
CA,141100,2007,1,87,10 - 15 cm,0,0,0,0,0,0,0,0,0.093564
CA,141100,2007,1,87,15 - 20 cm,2,0,0.04021238596594935,0,0.2367683393338662,0,0.21826077829157786,0,0
CA,141100,2007,1,87,20 - 25 cm,2,0,0.06283185307179587,0,0.42835291851225854,0,0.4028626622476656,0,0.39002
CA,21000,2008,1,7,5 - 10 cm,2.0408163265306123,0,0.007313018613267058,0,0.09868371068094972,0,0.005469606047507887,0,0
CA,21000,2008,1,16,5 - 10 cm,3.0612244897959187,1.0204081632653061,0.013804574861756172,0.007232875943532623,0.07248752720438609,0.04587028337387148,0.07248752720438609,0.04587028337387148,0
CA,21000,2008,1,7,10 - 15 cm,2.0408163265306123,0,0.020376273779979717,0,0.16928748557561357,0,0.11466432683797483,0,0
CA,21000,2008,1,16,10 - 15 cm,2.0408163265306123,0,0.02123780747962488,0,0.15680895916701754,0,0.15680895916701754,0,0.02895408163265306
CA,21000,2008,1,7,15 - 20 cm,3.0612244897959187,0,0.08146502378505166,0,0.7611789113086218,0,0.7136053009791881,0,0
CA,21000,2008,1,16,15 - 20 cm,0,0,0,0,0,0,0,0,0.0982234693877551
CA,21000,2008,1,87,15 - 20 cm,0,0,0,0,0,0,0,0,0.13913061224489798
CA,21000,2008,1,6,20 - 25 cm,1.0204081632653061,0,0.032057067893773404,0,0.3293469467864586,0,0.3224094360296314,0,0
CA,21000,2008,1,7,20 - 25 cm,1.0204081632653061,0,0.032057067893773404,0,0.3099280157988161,0,0.29332749588581236,0,0
CA,21000,2008,1,16,20 - 25 cm,1.0204081632653061,0,0.042395472289515325,0,0.46075624719134156,0,0.4434500370908242,0,0
CA,21000,2008,1,16,25 - 30 cm,1.0204081632653061,0,0.0650958834917936,0,0.7598399261944384,0,0.7223003719115532,0,0
CA,21000,2008,1,87,25 - 30 cm,0,0,0,0,0,0,0,0,0.0715530612244898
CA,21000,2008,1,16,30 - 35 cm,3.0612244897959187,0,0.2547134400834633,0,3.1058022208632003,0,2.9034259412011103,0,0
CA,21000,2008,1,16,35 - 40 cm,2.0408163265306123,0,0.2137004288468669,0,2.703019157785197,0,2.4792215768053363,0,0
