Code,Type,Category
1.1,1.1 Spruce and spruce‑birch boreal forest,1 Boreal forest
1.2,1.2 Pine and pine‑birch boreal forest,1 Boreal forest
2.1,2.1 Hemiboreal forest,2. Hemiboreal forest and nemoral coniferous and mixed broadleaved‑coniferous forest
2.2,2.2 Nemoral Scots pine forest,2. Hemiboreal forest and nemoral coniferous and mixed broadleaved‑coniferous forest
2.3,2.3 Nemoral spruce forest,2. Hemiboreal forest and nemoral coniferous and mixed broadleaved‑coniferous forest
2.4,2.4 Nemoral Black pine forest,2. Hemiboreal forest and nemoral coniferous and mixed broadleaved‑coniferous forest
2.5,2.5 Mixed Scots pine‑birch forest,2. Hemiboreal forest and nemoral coniferous and mixed broadleaved‑coniferous forest
2.6,2.6 Mixed Scots pine‑pedunculate oak forest,2. Hemiboreal forest and nemoral coniferous and mixed broadleaved‑coniferous forest
3.1,3.1 Subalpine larch‑arolla pine and dwarf pine forest,3. Alpine coniferous forest
3.2,3.2 Subalpine and mountainous spruce and mountainous mixed spruce‑silver fir forest,3. Alpine coniferous forest
3.3,3.3 Alpine Scots pine and Black pine forest,3. Alpine coniferous forest
4.1,4.1 Acidophilous oakwood,4. Acidophilous oak and oak‑birch forest
4.2,4.2 Oak‑birch forest,4. Acidophilous oak and oak‑birch forest
5.1,5.1 Pedunculate oak–hornbeam forest,5. Mesophytic deciduous forest
5.2,5.2 Sessile oak–hornbeam forest,5. Mesophytic deciduous forest
5.3,5.3 Ashwood and oak‑ash forest,5. Mesophytic deciduous forest
5.4,5.4 Maple‑oak forest,5. Mesophytic deciduous forest
5.5,5.5 Lime‑oak forest,5. Mesophytic deciduous forest
5.6,5.6 Maple‑lime forest,5. Mesophytic deciduous forest
5.7,5.7 Lime forest,5. Mesophytic deciduous forest
5.8,5.8 Ravine and slope forest,5. Mesophytic deciduous forest
5.9,5.9 Other mesophytic deciduous forests,5. Mesophytic deciduous forest
6.1,6.1 Lowland beech forest of southern Scandinavia and north central Europe,6. Beech forest
6.2,6.2 Atlantic and subatlantic lowland beech forest,6. Beech forest
6.3,6.3 Subatlantic submountainous beech forest,6. Beech forest
6.4,6.4 Central European submountainous beech forest,6. Beech forest
6.5,6.5 Carpathian submountainous beech forest,6. Beech forest
6.6,6.6 Illyrian submountainous beech forest,6. Beech forest
6.7,6.7 Moesian submountainous beech forest,6. Beech forest
7.1,"7.1 South western European mountainous beech forest (Cantabrians, Pyrenees, central Massif, south western Alps)",7. Mountainous beech forest
7.2,7.2 Central European mountainous beech forest,7. Mountainous beech forest
7.3,7.3 Apennine‑Corsican mountainous beech forest,7. Mountainous beech forest
7.4,7.4 Illyrian mountainous beech forest,7. Mountainous beech forest
7.5,7.5 Carpathian mountainous beech forest,7. Mountainous beech forest
