MasterID	ID	Value1	Value2	Value3	OrderField	Active
11	10	KR - krachtig	vigorous tree	NA	NA	1
11	20	KW - kwijnend	declining tree	NA	NA	1
11	30	N - normaal	normal vitality	NA	NA	1
12	40	NVT - dood	NA - dead	NA	NA	1
11	50	NVT - stoof	NA	NA	NA	1
