plot_id	period	year	species	decaystage	tree_id	tree_measure_id	DBH_mm	AliveDead	Adjust_Vol_tot_m3
101	1	2002	64	16	1_101_11545	11545	310	11	0.764705
101	1	2002	87	16	1_101_11546	11546	680	11	5.9107537
101	1	2002	87	16	1_101_11547	11547	350	11	1.0823825
101	1	2002	16	16	1_101_11549	11549	80	11	0.0248614
101	1	2002	64	16	1_101_11552	11552	460	11	2.0538081
101	1	2002	87	16	1_101_11554	11554	480	11	2.4975308
101	1	2002	28	16	1_101_11557	11557	60	11	0.002
101	1	2002	87	16	1_101_11559	11559	930	11	12.4951793
101	1	2002	87	16	1_101_11594	11594	480	11	2.4975308
101	1	2002	87	16	1_101_11595	11595	880	11	10.9577378
101	1	2002	16	16	1_101_11597	11597	121	11	0.2580498
101	1	2002	28	16	1_101_11598	11598	90	11	0.0263208
101	1	2002	28	16	1_101_11599	11599	60	11	0.002
101	1	2002	87	16	1_101_11608	11608	510	11	2.9110149
101	1	2002	28	16	1_101_11609	11609	90	11	0.0263208
101	1	2002	87	16	1_101_11612	11612	520	11	3.0565341
101	1	2002	87	16	1_101_11628	11628	610	11	4.5384237
101	1	2002	87	16	1_101_11633	11633	540	11	3.3596239
102	1	2002	14	16	1_102_11460	11460	430	11	2.2022764
102	1	2002	28	16	1_102_11467	11467	60	11	0.001
102	1	2002	16	16	1_102_11468	11468	91	11	0.0960529
102	1	2002	28	16	1_102_11469	11469	71	11	0.0546096
102	1	2002	16	16	1_102_11483	11483	140	11	0.1124222
102	1	2002	16	16	1_102_11484	11484	180	11	0.2243187
102	1	2002	16	16	1_102_11485	11485	60	11	0.0076929
102	1	2002	16	16	1_102_11486	11486	130	11	0.0917925
102	1	2002	87	16	1_102_11487	11487	960	11	13.2687874
102	1	2002	16	16	1_102_11488	11488	60	11	0.0076929
102	1	2002	16	16	1_102_11489	11489	100	11	0.0428867
102	1	2002	16	16	1_102_11490	11490	180	11	0.2243187
102	1	2002	16	16	1_102_11491	11491	90	11	0.0309117
102	1	2002	16	16	1_102_11492	11492	60	11	0.0076929
102	1	2002	16	16	1_102_11493	11493	300	11	0.776636
102	1	2002	87	16	1_102_11524	11524	610	11	4.6222583
102	1	2002	24	16	1_102_11525	11525	990	11	12.2008937
102	1	2002	16	16	1_102_11935	11935	410	11	1.6287666
103	1	2002	87	16	1_103_10776	10776	450	11	2.098939
103	1	2002	87	16	1_103_10777	10777	300	11	0.7576683
103	1	2002	28	16	1_103_10778	10778	64	11	0.003
103	1	2002	16	16	1_103_10779	10779	60	11	0.0147215
103	1	2002	16	16	1_103_10780	10780	190	11	0.2498615
103	1	2002	28	16	1_103_10781	10781	75	11	0.020777
103	1	2002	87	16	1_103_10782	10782	750	11	7.0773226
103	1	2002	28	16	1_103_10783	10783	70	11	0.0051661
103	1	2002	87	16	1_103_10784	10784	540	11	3.2562418
103	1	2002	28	16	1_103_10785	10785	50	11	0.001
103	1	2002	87	12	1_103_10786	10786	100	12	0.0681333
103	1	2002	87	12	1_103_10787	10787	70	12	0.0847823
103	1	2002	16	16	1_103_10788	10788	220	11	0.3593238
103	1	2002	16	16	1_103_10789	10789	60	11	0.0073607
103	1	2002	16	16	1_103_10790	10790	180	11	0.2176382
103	1	2002	28	16	1_103_10791	10791	80	11	0.0639436
103	1	2002	16	16	1_103_10792	10792	90	11	0.0298596
103	1	2002	57	16	1_103_10793	10793	380	11	1.3255879
103	1	2002	87	16	1_103_10795	10795	750	11	7.0773226
103	1	2002	16	16	1_103_10796	10796	50	11	0.0038078
103	1	2002	16	16	1_103_10797	10797	60	11	0.0073607
103	1	2002	87	16	1_103_10798	10798	90	11	0.0695351
