forest_reserve_fieldmap,plottype,reserve_name_euforia,reserve_establishment_yr,reserve_unmanaged_since,plots_unmanaged_since,last_commercial_intervention,attention
Zoniën KERN_1983,CA,Zonienwoud-Joseph Zwaenepoel reservaat_OldCore_CA,1995,1983,1983,,
Zoniën HARRAS_1995,CA,Zonienwoud-Joseph Zwaenepoel reservaat_Haras_CA,1995,1993,1993,,
Zoniën UITBR_1995,CP,Zonienwoud-Joseph Zwaenepoel reservaat_1stExtension_CP,1995,1993,1993,,
Zoniën UITBR_2010,CP,Zonienwoud-Joseph Zwaenepoel reservaat_2ndExtension_CP,2010,2008,2008,2005-2008,
Wijnendalebos,CA,Wijnendalebos_CA,1996,2001,1983,1984,
Wijnendalebos,CP,Wijnendalebos_CP,1996,2001,2001,1984,
Everzwijnbad,CA,Everzwijnbad_CA,1995,1995,1995,1994,
Everzwijnbad,CP,Everzwijnbad_CP,1995,2000,1995,1994,
Withoefse heide,CP,Withoefse heide_CP,1994,1943,1943,none,
Hannecart,CA,Hannecart_CA,1989,1985,1985,,
Walenbos KV1,CA,Walenbos_MesotrophicAlnion_CA,1989,1985,1985,,
Walenbos OT,CA,Walenbos_OligotrophicAlnion_CA,1989,1985,1985,,
Rodebos KV1,CA,Rodebos_FagoQuercetum_CA,1989,1985,1985,,
Rodebos KV2,CA,Rodebos_Fagion-AlnoPadion_CA,1989,1985,1985,,
Heirnisse,CA,Heirnisse_CA,1996,2008,1991,1991,
Heirnisse,CP,Heirnisse_CP,1996,2008,2008,1991,
Jansheideberg,CA,Jansheideberg_CA,1996,1994,1994,1994,
Jansheideberg,CP,Jansheideberg_CP,1996,1994,1994,1994,
Coolhem A,CA,Coolhembos_Alnion_CA,1995,1993,1993,1993,
Coolhem Q,CA,Coolhembos_Quercion-Alnion_CA,1995,1993,1993,1993,
Bos Terrijst,CA,Bos Terrijst_CA,1996,2003,1983,1981-1983,
Bos Terrijst,CP,Bos Terrijst_CP,1996,2003,2003,1981-1983,
Pruikemakers,CA,Pruikenmakers_CA,1995,2002,2002,1993,
Pruikemakers,CP,Pruikenmakers_CP,1995,2002,2002,1993,
Liedekerke,CP,Liedekerke _CP,2003,1972,1972,late 1960's,
Liedekerke Transekt,CA,,2003,1972,1972,late 1960's,
Sevendonck A,CA,Sevendonk_Alnion_CA,1997,1987,1987,1986,
Sevendonck Q,CA,Sevendonk_Quercion_CA,1997,1995,1995,1994,
Sevendonck,CP,Sevendonk_Alnion _CP,1997,1995,1995,1994,
Sevendonck,CP,Sevendonk_Quercion_CP,1997,1995,1995,1994,
Muizenbos,CA,Muizenbos_CA,1997,1997,1997,1997,
Muizenbos,CP,Muizenbos_CP,1997,1997,1997,1997,
Ename,CP,Ename_CP,2000,1990,1990,1990's,partially managed site
Kluisbos,CP,Kluisbos_CP,2006,2000,2000,thinning in 1990s (?),partially managed site
Kolmont,CP,Kolmont_CP,1995,1991,1960,over 100 yrs,
De heide,CP,,1999,,,,managed site
Zoniën KERN_1983,CP,Zonienwoud-Joseph Zwaenepoel reservaat_OldCore_CP,1995,1983,1983,,
Zoniën HARRAS_1995,CP,Zonienwoud-Joseph Zwaenepoel reservaat_Haras_CP,1995,1993,1993,,
