plot_id,forest_reserve_fieldmap,SiteName,SubArea,Management,Beheer,Management_type,plot_unmanaged_since,reserve_unmanaged_since,reserve_establishment_yr,last_commercial_intervention,EUNIS_EEA_category,EUNIS_EEA_foresttype,PNV_Bohn,Habtype,S1_fisheyedate,LAI_1ste,VisSky_1st
0,,,,unmanaged,0-beheer,,,,,,,,,,,,
101,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.651,0.091
102,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.694,0.063
103,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.944,0.058
104,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.876,0.077
105,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.971,0.08
106,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.769,0.063
107,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.957,0.05
108,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.783,0.076
109,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.353,0.092
110,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.369,0.109
111,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.168,0.04
112,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.494,0.036
113,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.687,0.085
114,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.819,0.069
115,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.941,0.089
116,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,4.646,0.042
117,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.915,0.082
118,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.464,0.087
119,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.209,0.104
120,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.613,0.089
121,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.174,0.054
122,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.832,0.059
123,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.378,0.084
124,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.621,0.096
125,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.407,0.048
126,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.366,0.044
127,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.514,0.034
128,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.387,0.106
129,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.688,0.062
130,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.449,0.085
131,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.553,0.082
132,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.227,0.1
133,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.124,0.046
134,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.217,0.046
135,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.928,0.053
136,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.345,0.109
137,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,3.203,0.043
138,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.382,0.094
139,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.638,0.083
140,Everzwijnbad,Meerdaalwoud,Everzwijnbad SFR,unmanaged,0-beheer,Non-intervention,1995,2000,1995,1994,5,5.1,F3,9160,2002-08-20T00:00:00Z,2.629,0.087
