MasterID	ID	Value1	Value2	Value3	OrderField	Active
11	10	A - achterblijvend	A - dominated-suppressed	NA	NA	1
11	20	M - meegroeiend	M - co-dominant	NA	NA	1
11	30	V - voorgroeiend	V - pre-dominant	NA	NA	1
12	40	NVT - dood	NA - dead	NA	NA	1
11	50	NVT - stoof	NA	NA	NA	1
