plottype,plot_id,year,period,decaystage,vol_dead_standing_m3_ha,vol_bole_dead_m3_ha,vol_log_m3_ha
CA,11000,1986,0,0,5.407872968471358,4.136546528416015,
CA,11000,1986,0,16,0,0,
CP,200,2000,1,12,16.074682098816847,15.77960743275028,0.6454289984677177
CP,200,2000,1,13,0,0,16.005679457692555
CP,200,2000,1,14,0,0,2.695877834550687
CP,200,2000,1,16,0,0,0
CP,200,2000,1,,0,0,0.7781403477648946
CP,204,2000,1,12,10.379834526039495,10.150177244472363,2.298125758522577
CP,204,2000,1,13,0,0,16.327021245542245
CP,204,2000,1,14,0,0,0.6835625228325358
CP,204,2000,1,16,0,0,0
CP,205,2000,1,12,18.720348023895856,18.424899003739952,2.735173190000076
CP,205,2000,1,13,0,0,7.9089343335484825
CP,205,2000,1,14,0,0,0.9480541650098021
CP,205,2000,1,16,0,0,0
CP,206,2000,1,12,13.741661213252133,13.473834769151859,0.22111396243757017
CP,206,2000,1,13,0,0,10.240411010395967
CP,206,2000,1,14,0,0,0.3293313659929044
CP,206,2000,1,16,0,0,0
CP,207,2000,1,12,20.45528684620851,19.9554338862069,3.2950166178201274
CP,207,2000,1,13,0,0,3.7097107375403695
CP,207,2000,1,14,0,0,0.6376304062562148
CP,207,2000,1,16,0,0,0
CP,209,2000,1,12,104.66431198166137,102.58094044104635,26.141883769099103
CP,209,2000,1,13,0.26459666916878555,0.26459666916878555,0
CP,209,2000,1,16,0,0,0
CP,209,2000,1,,0,0,0.18750839620371648
CP,210,2000,1,12,51.91909889352171,50.97432056822338,1.2548173600722756
CP,210,2000,1,13,0,0,0.11570564362780791
CP,210,2000,1,16,0,0,0
CP,211,2000,1,12,65.95222545433721,64.567751154511825,6.35408603250652
CP,211,2000,1,16,0,0,0
CP,211,2000,1,,0,0,0.2830650240360904
CP,212,2000,1,12,0,0,2.9796988445664643
CP,212,2000,1,13,0,0,1.383398638596218
CP,212,2000,1,14,0,0,0.027669086856526002
CP,212,2000,1,16,0,0,0
CP,212,2000,1,,36.669521704770645,35.96967796551521,0.20155381993157623
CP,213,2000,1,12,5.583515013025531,5.483583757733191,0
CP,213,2000,1,13,0,0,1.2010627780429879
CP,213,2000,1,16,0,0,0
