ID	Value1	Value2	Value3	OrderField	Active
4	Ingroei	Ingrowth	NA	NA	1
5	Niet in eerste meting	Not in first measurement	NA	NA	1
6	Uitgebr st tak (NIET MEER GEBRUIKEN)	Fallen branch, standing upright	NA	NA	1
7	Hoogte1eSet aangepast/verwijderd	Heigth 1st measurement corrected/deleted	NA	NA	1
10	Bijzonder element	Rare habitat feature	NA	NA	1
20	Bliksemschade	Lightning scar	NA	NA	1
21	Geringd	Girdled	NA	NA	1
22	Gemeten in prfvl_buit prfvl penmapping	Measured in_outside plot with penmapping	NA	NA	1
40	Hangend	Leaning	NA	NA	1
50	Stamschade	Trunk damage	NA	NA	1
60	Stobbe (stamvoet afgezaagde boom)	Stump	NA	NA	1
70	Stobbe van een hakhoutstoof	Stool of coppice	NA	NA	1
80	Top dood	Tree with dead top	NA	NA	1
90	Top uitgebroken	Tree with broken top	NA	NA	1
100	Vorstschade	Frost damage	NA	NA	1
110	Vraatschade	Browsing damage	NA	NA	1
120	Zwamgroei	Epiphytic fungi	NA	NA	1
130	Honingzwam	Armillaria	NA	NA	1
140	Afgezaagd	Cut down	NA	NA	1
150	Liggend	Lying	NA	NA	1
160	Gehamerd	Marked for harvest	NA	NA	1
170	Esdoornaantasting (Nectria ea)	Infection on maple (Nectria etc.)	NA	NA	1
171	Essenziekte (Chalara)	Ash dieback (chalara)	NA	NA	1
172	Boomkanker (Nectria ea)	Infection on ash (Nectria etc; no Chalar	NA	NA	1
180	Exotenbeheer na 1emeting	Removal of exotic spec, after 1st meas	NA	NA	1
181	EXPLOITATIE NA 1E METING	Harvested after first measurement	NA	NA	1
182	Kroonhout gevelde boom	Crown of felled tree	NA	NA	1
190	Boom behandeld (hak en spuit)	Glyfosate treated tree (cut and inject)	NA	NA	1
191	Gekapt	NA	NA	NA	1
192	Minder bladbezetting (bladloze toppen)	NA	NA	NA	1
193	Schorsbrand	NA	NA	NA	1
194	Afgestorven	NA	NA	NA	1
200	-	-	NA	NA	1
210	Moeraszegge verandert naar Oeverzegge	Removal of exotic spec, after 1st meas	NA	NA	1
220	Oeverzegge toegevoegd	Carex riparia added	NA	NA	1
