SITE_ID,SITE_NAME,WILDCARD_sub_ID,composed_site_id,forest_reserve_fieldmap,forest_reserve_FM_adjusted,plottype,LPI_ID / SPI_ID,comment,subarea
1,Zonienwoud-Joseph Zwaenepoel reservaat,OldCore,INBO__1__Zonienwoud-Joseph Zwaenepoel reservaat__OldCore,Zoniën KERN_1983,Zoniën KERN_1983,CA,11000,CA unmanaged 1983,
1,Zonienwoud-Joseph Zwaenepoel reservaat,OldCore,INBO__1__Zonienwoud-Joseph Zwaenepoel reservaat__OldCore,Zoniën KERN_1983,Zoniën KERN_1983,CP,11 plots van 2001-2065,CP unmanaged 1983,
1,Zonienwoud-Joseph Zwaenepoel reservaat,1stExtension,INBO__1__Zonienwoud-Joseph Zwaenepoel reservaat__1stExtension,Zoniën UITBR_1995,Zoniën UITBR_1995,CP,rest van 2001-2065,CP unmanaged 1993,
1,Zonienwoud-Joseph Zwaenepoel reservaat,2ndExtension,INBO__1__Zonienwoud-Joseph Zwaenepoel reservaat__2ndExtension,Zoniën UITBR_2010,Zoniën UITBR_2010,CP,rest van 2101-2186,unmanaged 2010,
1,Zonienwoud-Joseph Zwaenepoel reservaat,Haras,INBO__1__Zonienwoud-Joseph Zwaenepoel reservaat__Haras,Zoniën HARRAS_1995,Zoniën HARRAS_1995,CA,21000,unmanaged 1993,
1,Zonienwoud-Joseph Zwaenepoel reservaat,Haras,INBO__1__Zonienwoud-Joseph Zwaenepoel reservaat__Haras,Zoniën HARRAS_1995,Zoniën HARRAS_1995,CP,22 plots van 2101-2186,unmanaged 1993,
2,Wijnendalebos,NA,INBO__2__Wijnendalebos__NA,Wijnendalebos,Wijnendalebos,CA,71000,NA,
2,Wijnendalebos,NA,INBO__2__Wijnendalebos__NA,Wijnendalebos,Wijnendalebos,CP,401-523,NA,
3,Everzwijnbad,NA,INBO__3__Everzwijnbad__NA,Everzwijnbad,Everzwijnbad,CA,81000,NA,
3,Everzwijnbad,NA,INBO__3__Everzwijnbad__NA,Everzwijnbad,Everzwijnbad,CP,101-148,NA,
4,Withoefse heide,NA,INBO__4__Withoefse heide__NA,Withoefse heide,Withoefse heide,CP,200-229,NA,
5,Hannecart,NA,INBO__5__Hannecart__NA,Hannecart,Hannecart,CA,31000,NA,
6,Walenbos,MesotrophicAlnion,INBO__6__Walenbos__MesotrophicAlnion,Walenbos KV1,Walenbos KV1,CA,51000,NA,
6,Walenbos,OligotrophicAlnion,INBO__6__Walenbos__OligotrophicAlnion,Walenbos OT,Walenbos OT,CA,53000,NA,
7,Rodebos,FagoQuercetum,INBO__7__Rodebos__FagoQuercetum,Rodebos KV1,Rodebos KV1,CA,41000,NA,
7,Rodebos,Fagion-AlnoPadion,INBO__7__Rodebos__Fagion-AlnoPadion,Rodebos KV2,Rodebos KV2,CA,43000,NA,
8,Heirnisse,NA,INBO__8__Heirnisse__NA,Heirnisse,Heirnisse,CA,91000,NA,
8,Heirnisse,NA,INBO__8__Heirnisse__NA,Heirnisse,Heirnisse,CP,701-768,NA,
9,Jansheideberg,NA,INBO__9__Jansheideberg__NA,Jansheideberg,Jansheideberg,CA,101000,NA,
9,Jansheideberg,NA,INBO__9__Jansheideberg__NA,Jansheideberg,Jansheideberg,CP,801-833,NA,
10,Coolhembos,Alnion,INBO__10__Coolhembos__Alnion,Coolhem A,Coolhem A,CA,171100,NA,
10,Coolhembos,Quercion-Alnion,INBO__10__Coolhembos__Quercion-Alnion,Coolhem Q,Coolhem Q,CA,171200,NA,
11,Bos Terrijst,NA,INBO__11__Bos Terrijst__NA,Bos Terrijst,Bos Terrijst,CA,111000,NA,
11,Bos Terrijst,NA,INBO__11__Bos Terrijst__NA,Bos Terrijst,Bos Terrijst,CP,841-890,NA,
12,Pruikenmakers,NA,INBO__12__Pruikenmakers__NA,Pruikemakers,Pruikemakers,CA,121000,NA,
12,Pruikenmakers,NA,INBO__12__Pruikenmakers__NA,Pruikemakers,Pruikemakers,CP,901-966,NA,
13,Liedekerke,NA,INBO__13__Liedekerke__NA,Liedekerke,Liedekerke,CP,1003-1065,één site WILDCARD,
13,Liedekerke,NA,INBO__13__Liedekerke__NA,Liedekerke TR,Liedekerke TR,CA,131000,één site WILDCARD,
14,Sevendonk,Alnion,INBO__14__Sevendonk__Alnion,Sevendonck A,Sevendonck A,CA,141100,Samen met CP Alnus,
14,Sevendonk,Alnion,INBO__14__Sevendonk__Alnion,Sevendonck,Sevendonck A,CP,deel van 1101-1178,,Alder forest SFR
14,Sevendonk,Quercion,INBO__14__Sevendonk__Quercion,Sevendonck,Sevendonck Q,CP,deel van 1101-1178,,Oak forest SFR
14,Sevendonk,Quercion,INBO__14__Sevendonk__Quercion,Sevendonck Q,Sevendonck Q,CA,141200,Samen met CP Quercus,
15,Muizenbos,NA,INBO__15__Muizenbos__NA,Muizenbos,Muizenbos,CA,151000,NA,
15,Muizenbos,NA,INBO__15__Muizenbos__NA,Muizenbos,Muizenbos,CP,1201-1246,NA,
16,Ename,NA,INBO__16__Ename__NA,Ename,Ename,CP,1301-1373,NA,
17,Kluisbos,NA,INBO__17__Kluisbos__NA,Kluisbos,Kluisbos,CP,1501-1628,NA,
18,Kolmont,NA,INBO__18__Kolmont__NA,Kolmont,Kolmont,CP,1701-1732,NA,
