plot_id	year	period	species	number_of_subplots_with_regeneration	perc_subplots_with_regeneration
121000	2006	1	3	16	16.3265306122449
121000	2006	1	4	6	6.12244897959184
121000	2006	1	5	4	4.08163265306122
121000	2006	1	7	62	63.265306122449
121000	2006	1	9	24	24.4897959183673
121000	2006	1	14	51	52.0408163265306
121000	2006	1	15	57	58.1632653061224
121000	2006	1	16	97	98.9795918367347
121000	2006	1	24	28	28.5714285714286
121000	2006	1	27	15	15.3061224489796
121000	2006	1	28	88	89.7959183673469
121000	2006	1	31	1	1.02040816326531
121000	2006	1	39	20	20.4081632653061
121000	2006	1	46	3	3.06122448979592
121000	2006	1	63	1	1.02040816326531
121000	2006	1	64	1	1.02040816326531
121000	2006	1	65	1	1.02040816326531
121000	2006	1	69	7	7.14285714285714
121000	2006	1	81	35	35.7142857142857
121000	2006	1	87	90	91.8367346938775
121000	2006	1	89	1	1.02040816326531
121000	2016	2	4	2	2.04081632653061
121000	2016	2	5	3	3.06122448979592
121000	2016	2	7	73	74.4897959183673
121000	2016	2	9	24	24.4897959183673
121000	2016	2	14	27	27.5510204081633
121000	2016	2	16	98	100
121000	2016	2	24	28	28.5714285714286
121000	2016	2	27	14	14.2857142857143
121000	2016	2	28	86	87.7551020408163
121000	2016	2	31	4	4.08163265306122
121000	2016	2	39	7	7.14285714285714
121000	2016	2	42	1	1.02040816326531
121000	2016	2	65	1	1.02040816326531
121000	2016	2	69	9	9.18367346938776
121000	2016	2	81	26	26.530612244898
121000	2016	2	87	97	98.9795918367347
