plottype,plot_id,year,period,height_class,species,subplot_id,rubbing_damage_perc,approx_nr_regeneration_ha,mean_number_of_regeneration_ha,lci_number_of_regeneration_ha,uci_number_of_regeneration_ha
CA,11000,2000,1,,,155511,,0,0,0,0
CA,11000,2000,1,,,155512,,0,0,0,0
CA,11000,2000,1,,,155513,,0,0,0,0
CP,2006,2001,1,5000,7,1,,1886.280807015056,1886.2808070464944,1886.2808070150563,1886.2808070779324
CP,2006,2001,1,5000,16,1,,628.7602690050187,628.7602690364567,628.7602690050187,628.7602690678947
CP,101,2002,1,3000,7,1,,157.19006725125467,157.1900672591142,157.19006725125467,157.19006726697367
CP,101,2002,1,3000,16,1,,314.38013450250935,314.38013451036886,314.38013450250935,314.3801345182284
CP,101,2002,1,3000,39,1,,314.38013450250935,314.38013451036886,314.38013450250935,314.3801345182284
CP,101,2002,1,5000,7,1,,1257.5205380100374,1257.5205380414754,1257.5205380100374,1257.5205380729135
CP,101,2002,1,5000,16,1,,44013.21883035131,44013.21883038275,44013.218830351325,44013.21883041418
CP,101,2002,1,5000,28,1,,628.7602690050187,628.7602690364567,628.7602690050187,628.7602690678947
CP,101,2002,1,5000,64,1,,1257.5205380100374,1257.5205380414754,1257.5205380100374,1257.5205380729135
CP,101,2002,1,5000,87,1,,1257.5205380100374,1257.5205380414754,1257.5205380100374,1257.5205380729135
CP,204,2003,1,5000,26,1,,63.66197723675813,61.64044440666364,47.74648292836436,79.57747154594767
CP,204,2003,1,5000,63,1,,238.732414637843,230.6374241368486,167.11269024728588,318.30988618379047
CP,204,2003,1,5000,86,1,,23.8732414637843,25.164606052872628,15.915494309985304,39.78873577297382
CP,204,2003,1,5000,87,1,,63.66197723675813,61.64044440666364,47.74648292836436,79.57747154594767
CP,204,2003,1,6000,63,1,,23.8732414637843,23.87324146418219,23.873241463784304,23.873241464580076
CP,204,2003,1,7000,6,1,,47.7464829275686,47.74648292796648,47.7464829275686,47.74648292836437
CP,204,2003,1,7000,39,1,,7.957747154594767,7.957747154992654,7.957747154594767,7.957747155390541
CP,204,2003,1,7000,63,1,,7.957747154594767,7.957747154992654,7.957747154594767,7.957747155390541
CP,1005,2007,1,,,1,,0,0,0,0
CA,141100,2007,1,1000,89,1,,10100,31780.497164157146,10100.000000010004,99999.99999999997
CA,141100,2007,1,2000,14,1,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,141100,2007,1,2000,89,1,,100,100.000000005,100,100.00000001
CA,141100,2007,1,3000,14,1,,500,500.0000000049999,499.9999999999999,500.0000000099999
CA,141100,2007,1,3000,28,1,,100,100.000000005,100,100.00000001
CA,141100,2007,1,3000,86,1,,100,100.000000005,100,100.00000001
CA,141100,2007,1,3000,89,1,,100,100.000000005,100,100.00000001
CA,141100,2007,1,4000,14,1,,1000,1000.0000000050003,1000.0000000000001,1000.0000000100001
CA,141100,2007,1,4000,39,1,,300,300.00000000500006,300.00000000000006,300.00000001000006
CA,141100,2007,1,1000,71,2,,3000,2898.275349244788,2100.0000000100003,3999.9999999999977
CA,141100,2007,1,1000,89,2,,10100,31780.497164157146,10100.000000010004,99999.99999999997
CA,141100,2007,1,2000,14,2,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,141100,2007,1,2000,39,2,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,141100,2007,1,2000,71,2,,3000,2898.275349244788,2100.0000000100003,3999.9999999999977
CA,141100,2007,1,3000,14,2,,1000,1000.0000000050003,1000.0000000000001,1000.0000000100001
CA,141100,2007,1,3000,39,2,,300,300.00000000500006,300.00000000000006,300.00000001000006
CA,141100,2007,1,3000,71,2,,1000,1000.0000000050003,1000.0000000000001,1000.0000000100001
CA,141100,2007,1,4000,14,2,,1500,1500.000000005,1500,1500.00000001
CA,141100,2007,1,4000,39,2,,900,900.0000000050001,900.0000000000001,900.0000000100001
CA,141100,2007,1,4000,71,2,,500,500.0000000049999,499.9999999999999,500.0000000099999
CA,141100,2007,1,1000,14,3,,800,774.5966692479383,600.0000000099998,1000.0000000000001
CA,141100,2007,1,1000,20,3,,800,774.5966692479383,600.0000000099998,1000.0000000000001
CA,141100,2007,1,1000,71,3,,10100,31780.497164157146,10100.000000010004,99999.99999999997
CA,141100,2007,1,1000,89,3,,3000,2898.275349244788,2100.0000000100003,3999.9999999999977
CA,141100,2007,1,2000,14,3,,1500,1483.2396974258745,1100.0000000100001,1999.9999999999995
CA,141100,2007,1,2000,20,3,,1500,1483.2396974258745,1100.0000000100001,1999.9999999999995
CA,141100,2007,1,2000,39,3,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,141100,2007,1,2000,71,3,,10100,31780.497164157146,10100.000000010004,99999.99999999997
CA,141100,2007,1,2000,87,3,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,141100,2007,1,2000,89,3,,100,100.000000005,100,100.00000001
CA,141100,2007,1,3000,20,3,,100,100.000000005,100,100.00000001
CA,141100,2007,1,3000,39,3,,300,300.00000000500006,300.00000000000006,300.00000001000006
CA,141100,2007,1,3000,71,3,,2000,2000.0000000049993,1999.9999999999989,2000.00000001
CA,141100,2007,1,4000,14,3,,2000,2000.0000000049993,1999.9999999999989,2000.00000001
CA,141100,2007,1,4000,71,3,,1000,1000.0000000050003,1000.0000000000001,1000.0000000100001
CA,21000,2009,1,1000,7,1,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,21000,2009,1,1000,16,1,,8000,7810.249675913055,6100.000000009996,10000.000000000004
CA,21000,2009,1,1000,27,1,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,21000,2009,1,1000,87,1,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,21000,2009,1,1000,7,2,,1500,1483.2396974258745,1100.0000000100001,1999.9999999999995
CA,21000,2009,1,1000,16,2,,10100,31780.497164157146,10100.000000010004,99999.99999999997
CA,21000,2009,1,1000,27,2,,100,100.000000005,100,100.00000001
CA,21000,2009,1,1000,87,2,,300,316.2277660247436,200.00000000999995,499.9999999999999
