ID,Value1,Value2,Value3,OrderField,Active
345,Gele helmbloem,Pseudofumaria lutea (L.) Borkh.,7049,,1
346,Gele hoornpapaver,Glaucium flavum Crantz,5719,,1
347,Gele kamille,Anthemis tinctoria L.,4173,,1
348,Gele kornoelje,Cornus mas,5005,,1
349,Gele lis,Iris pseudacorus L.,5959,,1
350,Gele monnikskap,Aconitum lycoctonum L. subsp. vulparia (,3932,,1
351,Gele morgenster,Tragopogon pratensis L.,7990,,1
352,Gele plomp,Nuphar lutea (L.) Smith,6522,,1
353,Gele waterkers,Rorippa amphibia (L.) Besser,7207,,1
354,Gele zegge,Carex flava L.,4692,,1
355,Gelobde maanvaren,Botrychium lunaria (L.) Swartz,4460,,1
356,Gelobde melde,Atriplex laciniata L.,4345,,1
357,Genadekruid,Gratiola officinalis L.,5745,,1
358,Geoord helmkruid,Scrophularia auriculata L.,7559,,1
359,Geoorde veldsla,Valerianella rimosa Bast.,8118,,1
360,Geoorde wilg,Salix aurita L.,7393,,1
361,Geoorde zuring,Rumex thyrsiflorus Fingerh.,7356,,1
362,Gerande schijnspurrie,Spergularia media (L.) C. Presl subsp. a,7788,,1
363,Geschubde niervaren,Dryopteris affinis (Lowe) Fraser-Jenkins,5268,,1
364,Gespleten hennepnetel,Galeopsis bifida Boenningh.,5627,,1
365,Gesteeld glaskroos,Elatine hexandra (Lapierre) DC.,5317,,1
366,Gesteeld sterrenkroos,Callitriche brutia Petagna,4575,,1
367,Gesteelde zoutmelde,Halimione pedunculata (L.) Aell.,4351,,1
368,Gestreepte klaver,Trifolium striatum L.,8041,,1
369,Gestreepte leeuwenbek,Linaria repens (L.) Mill.,6162,,1
370,Gestreepte witbol,Holcus lanatus L.,5862,,1
371,Getand vlotgras,Glyceria declinata Br‚b.,5730,,1
372,Getande veldsla,Valerianella dentata (L.) Pollich,8115,,1
373,Geum macrophyllum Willd.,Geum macrophyllum Willd.,5714,,1
374,Gevinde kortsteel,Brachypodium pinnatum (L.) Beauv.,4468,,1
375,Gevlekt longkruid,Pulmonaria officinalis L.,7081,,1
376,Gevlekt zonneroosje,Tuberaria guttata (L.) Fourr.,8065,,1
377,Gevlekte aronskelk,Arum maculatum L.,4281,,1
378,Gevlekte dovenetel,Lamium maculatum L.,6046,,1
379,Gevlekte orchis,Dactylorhiza maculata (L.) So¢,5151,,1
380,Gevlekte rupsklaver,Medicago arabica (L.) Huds.,6323,,1
381,Gevlekte scheerling,Conium maculatum L.,4972,,1
382,Gevleugeld helmkruid,Scrophularia umbrosa Dum.,7564,,1
383,Gevleugeld hertshooi,Hypericum tetrapterum Fries,5912,,1
384,Gevleugeld sterrenkroos,Callitriche stagnalis Scop.,4582,,1
385,Gewone addertong,Ophioglossum vulgatum L.,6580,,1
386,Gewone agrimonie,Agrimonia eupatoria L.,3966,,1
387,Gewone berenklauw,Heracleum sphondylium L.,5806,,1
388,Gewone bermzegge,Carex spicata Huds.,4731,,1
389,Gewone brem,Cytisus scoparius (L.) Link,5144,,1
390,Gewone brunel,Prunella vulgaris L.,7026,,1
391,Gewone dophei,Erica tetralix L.,5417,,1
392,Gewone duivekervel,Fumaria officinalis L.,5603,,1
393,Gewone en smalle rolklaver,Lotus corniculatus L.,6219,,1
394,Gewone engelwortel,Angelica sylvestris L.,4157,,1
395,Gewone ereprijs,Veronica chamaedrys L.,8168,,1
396,Gewone hennepnetel,Galeopsis tetrahit L.,5634,,1
397,Gewone hoornbloem,Cerastium fontanum Baumg.,4823,,1
398,Gewone kropaar,Dactylis glomerata L.,5162,,1
399,Gewone melkdistel,Sonchus oleraceus L.,7750,,1
400,Gewone ossentong,Anchusa officinalis L.,4136,,1
401,Gewone pastinaak en brandpastinaak,Pastinaca sativa L.,6706,,1
402,Gewone raket,Sisymbrium officinale (L.) Scop.,7699,,1
403,Gewone reigersbek,Erodium cicutarium (L.) L'H‚rit.,5435,,1
404,Gewone salomonszegel,Polygonatum multiflorum (L.) All.,6943,,1
405,Gewone sering,Syringa vulgaris L.,7872,,1
406,Gewone smeerwortel,Symphytum officinale L.,7862,,1
407,Gewone spurrie,Spergula arvensis L.,7784,,1
408,Gewone steenraket,Erysimum cheiranthoides L.,5460,,1
409,Gewone veldbies,Luzula campestris (L.) DC.,6238,,1
410,Gewone veldsla,Valerianella locusta (L.) Laterr.,8117,,1
411,Gewone vleugeltjesbloem,Polygala vulgaris L.,6902,,1
412,Gewone vogelmelk,Ornithogalum umbellatum L.,6611,,1
413,Gewone waterbies,Eleocharis palustris (L.) Roem. et Schul,5326,,1
414,Gewone waternavel,Hydrocotyle vulgaris L.,5890,,1
415,Gewone zoutmelde,Halimione portulacoides (L.) Aell.,4353,,1
416,Gewoon barbarakruid,Barbarea vulgaris R. Brown,4400,,1
417,Gewoon biggekruid,Hypochoeris radicata L.,5916,,1
418,Gewoon duizendblad,Achillea millefolium L.,3922,,1
419,Gewoon handjesgras,Cynodon dactylon (L.) Pers.,5116,,1
420,Gewoon herderstasje,Capsella bursa-pastoris (L.) Med.,4624,,1
421,Gewoon kweldergras,Puccinellia maritima (Huds.) Parl.,7070,,1
422,Gewoon langbaardgras,Vulpia myuros (L.) C.C. Gmel.,8267,,1
423,Gewoon reukgras,Anthoxanthum odoratum L.,4175,,1
424,Gewoon robertskruid,Geranium robertianum L.,5705,,1
425,Gewoon sneeuwklokje,Galanthus nivalis L.,5617,,1
426,Gewoon sterrenkroos,Callitriche platycarpa Ktz.,4580,,1
427,Gewoon struisgras,Agrostis capillaris L.,3972,,1
428,Gewoon struisriet,Calamagrostis epigejos (L.) Roth,4557,,1
429,Gewoon timoteegras,Phleum pratense L.,6768,,1
430,Gewoon vingerhoedskruid,Digitalis purpurea L.,5224,,1
431,Gewoon wilgenroosje,Epilobium angustifolium L.,4852,,1
432,Gipskruid,Gypsophila muralis L.,5762,,1
433,Glad biggekruid,Hypochoeris glabra L.,5914,,1
434,Glad parelzaad,Lithospermum officinale L.,6186,,1
