plot_id	year	period	height_class	species	min_number_of_trees_ha	max_number_of_trees_ha	number_of_subplots_with_regeneration	perc_subplots_with_regeneration	rubbing_damage_perc	mean_number_of_trees_ha
11000	2000	1	3000	7	2.51197841559287	2.51197841559287	5	0.666666666666667	NA	2.51197841559287
11000	2000	1	3000	16	0.279108712843653	0.279108712843653	3	0.4	NA	0.279108712843653
11000	2000	1	3000	77	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	4000	6	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	4000	7	52.8445829650649	52.8445829650649	177	23.6	NA	52.8445829650649
11000	2000	1	4000	16	0.372144950458203	0.372144950458203	4	0.533333333333333	NA	0.372144950458203
11000	2000	1	4000	87	0.186072475229102	0.186072475229102	2	0.266666666666667	NA	0.186072475229102
11000	2000	1	5000	4	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	5000	6	0.186072475229102	0.186072475229102	2	0.266666666666667	NA	0.186072475229102
11000	2000	1	5000	7	14.9788342559427	14.9788342559427	88	11.7333333333333	NA	14.9788342559427
11000	2000	1	5000	14	0.372144950458203	0.372144950458203	4	0.533333333333333	NA	0.372144950458203
11000	2000	1	5000	16	2.04679722752012	2.04679722752012	18	2.4	NA	2.04679722752012
11000	2000	1	5000	27	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	5000	31	0.372144950458203	0.372144950458203	4	0.533333333333333	NA	0.372144950458203
11000	2000	1	5000	39	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	5000	64	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	5000	71	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	5000	79	0.558217425687305	0.558217425687305	3	0.4	NA	0.558217425687305
11000	2000	1	5000	82	0.0930362376145509	0.0930362376145509	1	0.133333333333333	NA	0.0930362376145509
11000	2000	1	5000	87	0.744289900916407	0.744289900916407	6	0.8	NA	0.744289900916407
11000	2000	1	NA	NA	0	0	447	59.6	NA	0
31000	2001	1	NA	NA	0	0	10	100	NA	0
41000	2001	1	3000	54	21.4285714285714	40.8163265306122	1	1.02040816326531	NA	30.6122448979592
41000	2001	1	5000	3	18.3673469387755	34.6938775510204	9	9.18367346938776	NA	24.4897959183673
41000	2001	1	5000	7	61.2244897959184	115.30612244898	35	35.7142857142857	NA	80.6122448979592
41000	2001	1	5000	14	7393.87755102041	63276.5306122449	97	98.9795918367347	NA	7796.9387755102
41000	2001	1	5000	16	30.6122448979592	59.1836734693878	17	17.3469387755102	NA	40.8163265306122
41000	2001	1	5000	20	12.2448979591837	30.6122448979592	6	6.12244897959184	NA	18.3673469387755
41000	2001	1	5000	23	4.08163265306122	7.14285714285714	3	3.06122448979592	NA	5.10204081632653
41000	2001	1	5000	27	4.08163265306122	7.14285714285714	3	3.06122448979592	NA	5.10204081632653
41000	2001	1	5000	28	7.14285714285714	10.2040816326531	6	6.12244897959184	NA	8.16326530612245
41000	2001	1	5000	31	48.9795918367347	84.6938775510204	19	19.3877551020408	NA	64.2857142857143
41000	2001	1	5000	39	12.2448979591837	24.4897959183673	8	8.16326530612245	NA	16.3265306122449
41000	2001	1	5000	43	3.06122448979592	6.12244897959184	2	2.04081632653061	NA	4.08163265306122
41000	2001	1	5000	52	4.08163265306122	10.2040816326531	2	2.04081632653061	NA	6.12244897959184
41000	2001	1	5000	54	6.12244897959184	10.2040816326531	1	1.02040816326531	NA	8.16326530612245
41000	2001	1	5000	63	1.02040816326531	1.02040816326531	1	1.02040816326531	NA	1.02040816326531
41000	2001	1	5000	64	4.08163265306122	10.2040816326531	2	2.04081632653061	NA	6.12244897959184
41000	2001	1	5000	83	6.12244897959184	10.2040816326531	1	1.02040816326531	NA	8.16326530612245
41000	2001	1	5000	87	43.8775510204082	89.7959183673469	28	28.5714285714286	NA	59.1836734693878
43000	2001	1	3000	54	2	2	1	10	NA	2
43000	2001	1	5000	7	14	14	7	70	NA	14
43000	2001	1	5000	14	1020	6640	10	100	NA	1128
43000	2001	1	5000	16	20	34	4	40	NA	26
43000	2001	1	5000	28	26	42	3	30	NA	34
43000	2001	1	5000	31	2	2	1	10	NA	2
43000	2001	1	5000	64	2	2	1	10	NA	2
43000	2001	1	5000	83	58	110	3	30	NA	82
43000	2001	1	5000	87	10	10	5	50	NA	10
43000	2001	1	5000	89	12	20	1	10	NA	16
51000	2001	1	3000	4	148.979591836735	277.551020408163	23	23.469387755102	NA	205.102040816327
51000	2001	1	3000	7	1.02040816326531	1.02040816326531	1	1.02040816326531	NA	1.02040816326531
51000	2001	1	3000	9	1.02040816326531	1.02040816326531	1	1.02040816326531	NA	1.02040816326531
51000	2001	1	3000	13	5.10204081632653	8.16326530612245	4	4.08163265306122	NA	6.12244897959184
