plottype,plot_id,year,period,number_of_tree_species,number_of_trees_ha,stem_number_ha,basal_area_alive_m2_ha,basal_area_dead_m2_ha,vol_alive_m3_ha,vol_dead_standing_m3_ha,vol_bole_alive_m3_ha,vol_bole_dead_m3_ha,vol_log_m3_ha,vol_deadw_m3_ha,stems_per_tree
CA,11000,1986,0,2,0.5582174256873051,0.5582174256873051,0.2313996282129636,0,4.684182221999459,0,3.5404524738731644,0,,,1
CP,204,2000,1,1,23.8732414637843,23.8732414637843,1.5875000000000001,0,12.946593525714293,0,12.730705134166246,0,1.8228015632314771,1.8228015632314771,1
CP,2006,2000,1,1,10.61032953945969,10.61032953945969,4.835000000000001,0.28444444444444444,107.23232620675216,3.680150699145974,74.63870537706322,3.347119601833941,,,1
CA,11000,2000,1,3,0.6512536633018561,0.6512536633018561,0.2858590645231574,0,5.915854420761962,0,4.391045441715331,0,,,1
CP,101,2002,1,3,363.50203051852645,520.6920977697811,35.261574074074076,0,540.6683919870687,0,426.7828855488116,0,1.1415535658954243,1.1415535658954243,1.4324324324324322
CP,1005,2006,1,1,42.44131815783876,42.44131815783876,1.5691666666666668,0,16.07958741571459,0,14.22839286569235,0,1.7714298843779266,1.7714298843779266,1
CA,141100,2007,1,2,8,8,0.1108982206717197,0,0.9018733577532574,0,0.7692279375228934,0,0.48358399999999996,0.48358399999999996,1
CA,21000,2008,1,4,28.571428571428573,33.673469387755105,5.171065514942286,0.45891696256679987,86.21309436036508,7.2705859500216325,68.2251173260916,6.060761486158012,2.6231326530612242,9.893718603082856,1.1785714285714286
CP,2006,2010,2,1,10.61032953945969,10.61032953945969,5.562847222222222,0,126.19423082115964,0,86.34054319181163,0,3.426344203306533,3.426344203306533,1
CA,11000,2010,2,3,0.5582174256873051,0.5582174256873051,0.2824759008291255,0.036317860367736585,6.007153343934707,0.616960495872458,4.3654874611266905,0.5489810023807729,2.814249100475724,3.431209596348182,1
CP,204,2011,2,1,23.8732414637843,23.8732414637843,2.0428125,0,17.168314917758938,0,16.865482577355717,0,2.6259053638203356,2.6259053638203356,1
CP,101,2012,2,2,206.31196326727175,284.9069968928991,37.27873456790124,0.7625385802469136,592.0625842718241,1.6061483238906757,463.55752760317733,1.5980334002342254,2.7917152431406893,4.397863567031365,1.380952380952381
CP,1005,2016,2,1,42.44131815783876,42.44131815783876,2.4749999999999996,0,29.743200101302087,0,25.479691612185807,0,0,0,1
CA,141100,2016,2,2,4,4,0.012291481257170066,0,0.1991955221122846,0,0.12131479386996794,0,0.542218,0.542218,1
CA,21000,2018,2,3,26.53061224489796,30.612244897959183,5.677847687007977,0.1748713053605339,96.31448234179032,2.5134275663123575,75.37675245055158,2.141536017425234,0.6272204081632653,3.140647974475623,1.1538461538461537
CP,2006,2020,3,1,10.61032953945969,10.61032953945969,5.848749999999999,0,132.81424259120706,0,91.00620929706821,0,4.5221153761646935,4.5221153761646935,1
CA,11000,2020,3,3,0.5582174256873051,0.5582174256873051,0.3120822366764122,0.036317860367736585,6.717040805772603,0.6849399893641432,4.841047172544678,0.5489810023807729,2.192802862683445,2.8777428520475885,1
