plottype,plot_id,period,year,height_class,species,nr_of_subplots_with_regeneration,perc_subplots_with_regeneration,approx_nr_regeneration_ha,approx_rubbing_damage_perc,rubbing_damage_number_ha,mean_number_of_regeneration_ha,lci_number_of_regeneration_ha,uci_number_of_regeneration_ha
CA,11000,1,2000,3000,7,5,0.6666666666666666,3.6,,,3.6000000000333334,3.5999999999923133,3.6000000000743535
CA,11000,1,2000,3000,16,3,0.4,0.4,,,0.4000000000200001,0.40000000000845304,0.40000000003154706
CA,11000,1,2000,3000,77,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,4000,6,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,4000,7,177,23.6,75.73333333333333,,,75.73333333451332,75.73333333430963,75.73333333471699
CA,11000,1,2000,4000,16,4,0.5333333333333333,0.5333333333333333,,,0.53333333336,0.5333333333466667,0.5333333333733333
CA,11000,1,2000,4000,87,2,0.26666666666666666,0.26666666666666666,,,0.26666666668,0.2666666666705719,0.26666666668942807
CA,11000,1,2000,5000,4,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,5000,6,2,0.26666666666666666,0.26666666666666666,,,0.26666666668,0.2666666666705719,0.26666666668942807
CA,11000,1,2000,5000,7,88,11.733333333333333,21.466666666666665,,,21.466666667253335,21.46666666715789,21.466666667348782
CA,11000,1,2000,5000,14,4,0.5333333333333333,0.5333333333333333,,,0.53333333336,0.5333333333466667,0.5333333333733333
CA,11000,1,2000,5000,16,18,2.4,2.933333333333333,,,2.933333333453334,2.9333333334211398,2.933333333485528
CA,11000,1,2000,5000,27,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,5000,31,4,0.5333333333333333,0.5333333333333333,,,0.53333333336,0.5333333333466667,0.5333333333733333
CA,11000,1,2000,5000,39,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,5000,64,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,5000,71,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,5000,79,3,0.4,0.8,,,0.8000000000200002,0.8000000000044446,0.8000000000355557
CA,11000,1,2000,5000,82,1,0.13333333333333333,0.13333333333333333,,,0.13333333334,0.13333333333333333,0.13333333334666667
CA,11000,1,2000,5000,87,6,0.8,1.0666666666666667,,,1.0666666667066667,1.0666666666878102,1.0666666667255231
CA,11000,1,2000,,,447,59.6,0,,,0,0,0
CA,31000,1,2001,,,10,100,0,,,0,0,0
CA,41000,1,2001,3000,54,1,1.0204081632653061,30.612244897959183,,,29.574238257599873,21.42857142867347,40.81632653061222
CA,41000,1,2001,5000,3,9,9.183673469387756,24.489795918367346,,,24.89293605476441,22.396230693855628,27.667971182159338
CA,41000,1,2001,5000,7,35,35.714285714285715,80.61224489795919,,,82.57765131588808,78.41399892090848,86.96238669993582
CA,41000,1,2001,5000,14,97,98.9795918367347,7796.938775510204,,,21032.192483975774,19155.284301527416,23093.007324758644
CA,41000,1,2001,5000,16,17,17.346938775510203,40.816326530612244,,,41.8818244641417,38.751135080409206,45.265441045931176
CA,41000,1,2001,5000,20,6,6.122448979591836,18.367346938775512,,,19.36088363416797,16.058168495672405,23.342874699366345
CA,41000,1,2001,5000,23,3,3.061224489795918,5.1020408163265305,,,5.267630265660649,4.521598014949637,6.136752653367648
CA,41000,1,2001,5000,27,3,3.061224489795918,5.1020408163265305,,,5.267630265660649,4.521598014949637,6.136752653367648
CA,41000,1,2001,5000,28,6,6.122448979591836,8.16326530612245,,,8.328854755609628,7.716557936179826,8.98973637128985
CA,41000,1,2001,5000,31,19,19.387755102040817,64.28571428571429,,,63.650847782211244,60.373762866362064,67.10581270811474
CA,41000,1,2001,5000,39,8,8.16326530612245,16.3265306122449,,,16.988888409377292,15.15034290807753,19.050547643538334
CA,41000,1,2001,5000,43,2,2.0408163265306123,4.081632653061225,,,4.247222102344322,3.377691416609115,5.340599054709231
CA,41000,1,2001,5000,52,2,2.0408163265306123,6.122448979591836,,,6.453627878055991,4.667785393491195,8.922713723406753
CA,41000,1,2001,5000,54,1,1.0204081632653061,8.16326530612245,,,7.904047645387125,6.122448979693876,10.204081632653063
CA,41000,1,2001,5000,63,1,1.0204081632653061,1.0204081632653061,,,1.0204081633163264,1.0204081632653061,1.020408163367347
CA,41000,1,2001,5000,64,2,2.0408163265306123,6.122448979591836,,,6.453627878055991,4.667785393491195,8.922713723406753
CA,41000,1,2001,5000,83,1,1.0204081632653061,8.16326530612245,,,7.904047645387125,6.122448979693876,10.204081632653063
