plot_id	year	period	height_class	species	rubbing_damage_perc	subplot_id	approx_nr_regeneration_ha	mean_number_of_regeneration_ha	lci_number_of_regeneration_ha	uci_number_of_regeneration_ha
11000	2000	1	NA	NA	NA	155511	0	0	0	NA
11000	2000	1	NA	NA	NA	155512	0	0	0	NA
11000	2000	1	NA	NA	NA	155513	0	0	0	NA
11000	2000	1	NA	NA	NA	155514	0	0	0	NA
11000	2000	1	NA	NA	NA	155515	0	0	0	NA
11000	2000	1	NA	NA	NA	155521	0	0	0	NA
11000	2000	1	NA	NA	NA	155522	0	0	0	NA
11000	2000	1	NA	NA	NA	155523	0	0	0	NA
11000	2000	1	NA	NA	NA	155524	0	0	0	NA
11000	2000	1	5000	7	NA	155525	100	100.000000005	100	100.00000001
11000	2000	1	5000	16	NA	155531	100	100.000000005	100	100.00000001
11000	2000	1	NA	NA	NA	155532	0	0	0	NA
11000	2000	1	NA	NA	NA	155533	0	0	0	NA
11000	2000	1	5000	7	NA	155534	300	300.000000005	300	300.00000001
11000	2000	1	5000	7	NA	155535	200	200.000000005	200	200.00000001
11000	2000	1	NA	NA	NA	155541	0	0	0	NA
11000	2000	1	NA	NA	NA	155542	0	0	0	NA
11000	2000	1	NA	NA	NA	155543	0	0	0	NA
11000	2000	1	5000	7	NA	155544	100	100.000000005	100	100.00000001
11000	2000	1	5000	27	NA	155544	100	100.000000005	100	100.00000001
11000	2000	1	NA	NA	NA	155545	0	0	0	NA
11000	2000	1	NA	NA	NA	155551	0	0	0	NA
11000	2000	1	5000	7	NA	155552	100	100.000000005	100	100.00000001
11000	2000	1	NA	NA	NA	155553	0	0	0	NA
11000	2000	1	NA	NA	NA	155554	0	0	0	NA
11000	2000	1	NA	NA	NA	155555	0	0	0	NA
11000	2000	1	NA	NA	NA	156011	0	0	0	NA
11000	2000	1	NA	NA	NA	156012	0	0	0	NA
11000	2000	1	NA	NA	NA	156013	0	0	0	NA
11000	2000	1	NA	NA	NA	156014	0	0	0	NA
11000	2000	1	5000	7	NA	156015	400	400.000000005	400	400.00000001
11000	2000	1	NA	NA	NA	156021	0	0	0	NA
11000	2000	1	NA	NA	NA	156022	0	0	0	NA
11000	2000	1	5000	7	NA	156023	100	100.000000005	100	100.00000001
11000	2000	1	5000	14	NA	156023	100	100.000000005	100	100.00000001
11000	2000	1	5000	7	NA	156024	100	100.000000005	100	100.00000001
11000	2000	1	5000	7	NA	156025	100	100.000000005	100	100.00000001
11000	2000	1	5000	7	NA	156031	100	100.000000005	100	100.00000001
11000	2000	1	NA	NA	NA	156032	0	0	0	NA
11000	2000	1	5000	7	NA	156033	100	100.000000005	100	100.00000001
11000	2000	1	5000	7	NA	156034	200	200.000000005	200	200.00000001
11000	2000	1	NA	NA	NA	156035	0	0	0	NA
11000	2000	1	NA	NA	NA	156041	0	0	0	NA
11000	2000	1	NA	NA	NA	156042	0	0	0	NA
11000	2000	1	NA	NA	NA	156043	0	0	0	NA
11000	2000	1	NA	NA	NA	156044	0	0	0	NA
11000	2000	1	NA	NA	NA	156045	0	0	0	NA
11000	2000	1	NA	NA	NA	156051	0	0	0	NA
11000	2000	1	NA	NA	NA	156052	0	0	0	NA
11000	2000	1	NA	NA	NA	156053	0	0	0	NA
11000	2000	1	NA	NA	NA	156054	0	0	0	NA
11000	2000	1	NA	NA	NA	156055	0	0	0	NA
11000	2000	1	NA	NA	NA	156511	0	0	0	NA
11000	2000	1	NA	NA	NA	156512	0	0	0	NA
11000	2000	1	NA	NA	NA	156513	0	0	0	NA
11000	2000	1	NA	NA	NA	156514	0	0	0	NA
