plot_id	year	period	decaystage	volume_log_m3_ha	forest_reserve
729	2003	1	13	8.60513444656906	Heirnisse
729	2003	1	14	27.0085447207986	Heirnisse
730	2003	1	12	1.74339503588367	Heirnisse
730	2003	1	13	19.3570529391053	Heirnisse
730	2003	1	14	6.26150913888648	Heirnisse
730	2003	1	15	4.15307946932859	Heirnisse
732	2003	1	13	7.8753402618383	Heirnisse
732	2003	1	14	9.11731863194887	Heirnisse
732	2003	1	15	4.34679657845735	Heirnisse
734	2003	1	13	26.1311785360565	Heirnisse
734	2003	1	14	8.93208978645167	Heirnisse
734	2003	1	15	1.41205802287643	Heirnisse
735	2003	1	12	0.369819106346186	Heirnisse
735	2003	1	13	0.676349561865336	Heirnisse
735	2003	1	14	4.4742187767229	Heirnisse
736	2003	1	10	0.489735478900487	Heirnisse
736	2003	1	11	0.611842688017102	Heirnisse
736	2003	1	13	2.38707853689835	Heirnisse
736	2003	1	14	5.33105200893029	Heirnisse
737	2003	1	14	5.17109146674373	Heirnisse
738	2003	1	12	0.366970036377257	Heirnisse
739	2003	1	11	0.348195647719935	Heirnisse
739	2003	1	12	0.442941960755629	Heirnisse
739	2003	1	13	1.23565146990371	Heirnisse
740	2003	1	14	0.408743296749278	Heirnisse
741	2003	1	10	18.5805045337465	Heirnisse
741	2003	1	12	0.20820806845349	Heirnisse
741	2003	1	13	4.7447232337039	Heirnisse
741	2003	1	14	15.7354822090492	Heirnisse
742	2003	1	12	0.468033425240611	Heirnisse
742	2003	1	13	0.749256279932309	Heirnisse
742	2003	1	14	10.7625189976965	Heirnisse
743	2003	1	10	11.8769179794743	Heirnisse
743	2003	1	13	8.28836698792017	Heirnisse
745	2003	1	11	6.9396467377668	Heirnisse
745	2003	1	13	16.7188927429107	Heirnisse
745	2003	1	14	2.5451822714155	Heirnisse
746	2003	1	10	10.2001617077259	Heirnisse
746	2003	1	11	0.228220328890415	Heirnisse
746	2003	1	12	0.41690735586714	Heirnisse
747	2003	1	11	0.650138118151189	Heirnisse
747	2003	1	12	0.669580564594329	Heirnisse
747	2003	1	13	1.59869175459968	Heirnisse
747	2003	1	14	0.674099779027802	Heirnisse
749	2003	1	12	1.28188499843398	Heirnisse
749	2003	1	13	4.92713248236978	Heirnisse
749	2003	1	14	1.08245010060895	Heirnisse
750	2003	1	12	2.00501825406497	Heirnisse
750	2003	1	13	4.42934101252267	Heirnisse
