ID,Value1,Value2,Value3,OrderField,Active
10,NVT,not applicable,0,,1
20,50 % TLred,40 - 60 % : 50 % BrancheLenghtReducti,0.5,,1
30,75 % TLred,60 - 90 % : 75 % BrancheLenghtReducti,0.75,,1
40,90 % TLred (nog takstobbes),> 90 % : 100 % BrancheLenghtReduction,0.9,,1
50,100 % TLred (enkel nog hoofdspil),,1,,1
