plot_id,Ferrariska,Vander_Mae,Gkadkaart,Ferr_t,Ferr,C1,VDM_t,VDM,C2,Gkad_t,Gkad,C3,DG1_t,DG1,C4,DG2_t,DG2,C5,DG3_t,DG3,C6,MGI_t,MGI,C7,NGI1_t,NGI1,C8,BSKT_t,BSKT,C9,NGI2_t,NGI2,C10,hist_uitgebreid,hist_beknopt,boslftd_cde,boslftd
101,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
102,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
103,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
104,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
105,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
106,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
107,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
108,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
109,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
110,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
111,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
112,ferraris112-3.jpg,8_16_Hamme_Mille.tif,Bierbeek (2e Partie) et Haesrode - nr. 25,1775,B,1,1850,B/l,1,1855,B,1,1865,B/l,1,1881,B/l,1,1893,B/l,1,1960,B/l,1,1993,B/l,1,2001,B,1,2009,B/l,1,1111111111,'1111,1,Bos ontstaan voor 1775
