forest_reserve,plot_id,info
Wijnendale,400,op pad
Wijnendale,424,op pad
Wijnendale,426,op pad
Wijnendale,482,kap tvv open ruimte
Heirnisse,701,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,707,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,709,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,727,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,728,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,738,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,739,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,740,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,759,exotenbeheer (2004 en 2008) na eerste meting
Heirnisse,760,exotenbeheer (2004 en 2008) na eerste meting
Sevendonck,1137,kap tvv open ruimte (2023)
Sevendonck,1140,kap tvv open ruimte (2023)
Liedekerke,,reeds uit moederdb
