plot_id,Regen_jaar,Regen_jan,Regen_feb,Regen_maa,Regen_apr,Regen_mei,Regen_jun,Regen_jul,Regen_aug,Regen_sep,Regen_okt,Regen_nov,Regen_dec,Temp_jaar,Temp_jan,Temp_feb,Temp_maa,Temp_apr,Temp_mei,Temp_jun,Temp_jul,Temp_aug,Temp_sep,Temp_okt,Temp_nov,Temp_dec
101,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
102,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
103,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
104,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
105,818,72,54,70,53,69,75,70,63,66,73,71,71,9.8,1.8,3.2,5.9,9.2,13,16.1,17.3,17.2,15.2,11.1,5.8,3
106,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
107,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
108,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
109,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
110,818,72,54,70,53,69,75,70,63,66,73,71,71,9.8,1.8,3.2,5.9,9.2,13,16.1,17.3,17.2,15.2,11.1,5.8,3
111,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
112,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
113,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
114,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
115,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
116,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
117,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
118,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
119,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
120,818,72,54,70,53,69,75,70,63,66,73,71,71,9.8,1.8,3.2,5.9,9.2,13,16.1,17.3,17.2,15.2,11.1,5.8,3
121,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
122,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
123,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
124,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
125,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
126,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
127,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
128,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
129,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
130,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
131,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
132,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
133,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
134,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
135,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
136,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
137,818,73,55,71,54,70,76,71,64,66,74,72,72,9.8,1.7,3.1,5.7,9.1,12.9,16,17.2,17.1,15.1,11,5.7,2.9
138,818,72,54,70,53,69,75,70,63,66,73,71,71,9.8,1.8,3.2,5.9,9.2,13,16.1,17.4,17.2,15.2,11.1,5.8,2.9
